Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:51.713785
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,365.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Amph_JSC1_Johnson
Sample Name,Amph_JSC1_Johnson
Sample Type,
Viewing Geometry,
Wavelength,Response
365.0,0.0036886
366.0,0.00561274
367.0,0.00170738
368.0,0.00686934
369.0,0.00956763
370.0,0.0110596
371.0,0.0153675
372.0,0.0124598
373.0,0.00951809
374.0,0.0132742
375.0,0.0135063
376.0,0.0137157
377.0,0.0143076
378.0,0.0165088
379.0,0.0187537
380.0,0.0210309
381.0,0.0223154
382.0,0.0216526
383.0,0.0210146
384.0,0.0224973
385.0,0.0232047
386.0,0.0241608
387.0,0.0258058
388.0,0.0265681
389.0,0.0266067
390.0,0.0262414
391.0,0.0280498
392.0,0.0279378
393.0,0.0277009
394.0,0.0290776
395.0,0.0293521
396.0,0.0301539
397.0,0.0318664
398.0,0.0323534
399.0,0.0327485
400.0,0.0331927
401.0,0.0335735
402.0,0.0341354
403.0,0.0346785
404.0,0.0346429
405.0,0.035611
406.0,0.0362309
407.0,0.0362408
408.0,0.0367399
409.0,0.0381435
410.0,0.039775
411.0,0.0391617
412.0,0.0398071
413.0,0.0405323
414.0,0.0404077
415.0,0.0413996
416.0,0.0422761
417.0,0.0427453
418.0,0.0430008
419.0,0.043772
420.0,0.0448744
421.0,0.0463725
422.0,0.0469608
423.0,0.0472331
424.0,0.0476124
425.0,0.0485862
426.0,0.0494455
427.0,0.0502452
428.0,0.0510219
429.0,0.0514938
430.0,0.0519961
431.0,0.0531255
432.0,0.053439
433.0,0.0538884
434.0,0.0549648
435.0,0.0556688
436.0,0.0564277
437.0,0.0571546
438.0,0.0577981
439.0,0.0583358
440.0,0.0588855
441.0,0.0596584
442.0,0.0602778
443.0,0.061079
444.0,0.0622355
445.0,0.0628902
446.0,0.0636196
447.0,0.064344
448.0,0.0651464
