Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:50.953217
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2700.0
Minimum Reflectance,320.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Amph_obsidian_glass_GS-CMP-015_RELAB
Sample Name,Amph_obsidian_glass_GS-CMP-015_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
320.0,0.112308
330.0,0.159316
340.0,0.19957
350.0,0.228582
360.0,0.2521
370.0,0.26993
380.0,0.275631
390.0,0.286642
400.0,0.296345
410.0,0.30655
420.0,0.309182
430.0,0.31202
440.0,0.314439
450.0,0.320417
460.0,0.330364
470.0,0.332077
480.0,0.333951
490.0,0.334716
500.0,0.336466
510.0,0.339772
520.0,0.341466
530.0,0.342372
540.0,0.342297
550.0,0.344081
560.0,0.346262
570.0,0.348457
580.0,0.350568
590.0,0.352466
600.0,0.354505
610.0,0.356211
620.0,0.357658
630.0,0.359942
640.0,0.361752
650.0,0.363432
660.0,0.365528
670.0,0.366502
680.0,0.368416
690.0,0.369257
700.0,0.369806
710.0,0.370194
720.0,0.369924
730.0,0.370189
740.0,0.368954
750.0,0.367476
760.0,0.365821
770.0,0.364262
780.0,0.361167
790.0,0.359549
800.0,0.358244
810.0,0.35598
820.0,0.354162
830.0,0.353327
840.0,0.348789
850.0,0.346218
860.0,0.344012
870.0,0.340497
880.0,0.337679
890.0,0.333626
900.0,0.331831
910.0,0.329589
920.0,0.327247
930.0,0.323012
940.0,0.321002
950.0,0.317992
960.0,0.315173
970.0,0.312218
980.0,0.310328
990.0,0.308222
1000.0,0.305462
1010.0,0.303775
1020.0,0.301846
1030.0,0.299889
1040.0,0.2978
1050.0,0.295779
1060.0,0.293935
1070.0,0.292981
1080.0,0.291814
1090.0,0.291032
1100.0,0.289952
1110.0,0.289743
1120.0,0.289455
1130.0,0.289265
1140.0,0.289393
1150.0,0.28902
1160.0,0.289378
1170.0,0.289309
1180.0,0.28974
1190.0,0.290908
1200.0,0.291272
1210.0,0.292477
1220.0,0.293819
1230.0,0.294369
1240.0,0.295556
1250.0,0.297184
1260.0,0.298822
1270.0,0.300842
1280.0,0.30241
1290.0,0.304457
1300.0,0.306285
1310.0,0.308103
1320.0,0.309663
1330.0,0.311348
1340.0,0.313591
1350.0,0.314802
1360.0,0.316156
1370.0,0.31825
1380.0,0.320256
1390.0,0.320219
1400.0,0.319925
1410.0,0.321215
1420.0,0.323502
1430.0,0.326596
1440.0,0.329181
1450.0,0.331874
1460.0,0.334261
1470.0,0.335572
1480.0,0.336911
1490.0,0.337936
1500.0,0.340217
1510.0,0.341856
1520.0,0.343541
1530.0,0.345405
1540.0,0.346787
1550.0,0.347733
1560.0,0.348516
1570.0,0.349165
1580.0,0.35019
1590.0,0.351402
1600.0,0.352266
1610.0,0.353896
1620.0,0.354802
1630.0,0.355054
1640.0,0.356717
1650.0,0.357204
1660.0,0.357589
1670.0,0.359266
1680.0,0.359818
1690.0,0.360316
1700.0,0.36084
1710.0,0.360655
1720.0,0.36113
1730.0,0.361413
1740.0,0.361853
1750.0,0.362121
1760.0,0.362176
1770.0,0.36274
1780.0,0.363021
1790.0,0.363869
1800.0,0.363643
1810.0,0.364921
1820.0,0.365796
1830.0,0.366094
1840.0,0.367629
1850.0,0.36754
1860.0,0.367969
1870.0,0.367589
1880.0,0.368767
1890.0,0.367359
1900.0,0.363761
1910.0,0.36292
1920.0,0.363424
1930.0,0.365424
1940.0,0.367387
1950.0,0.368461
1960.0,0.369304
1970.0,0.369853
1980.0,0.370643
1990.0,0.371964
2000.0,0.372371
2010.0,0.373109
2020.0,0.373912
2030.0,0.374046
2040.0,0.374732
2050.0,0.374883
2060.0,0.375876
2070.0,0.376252
2080.0,0.377251
2090.0,0.377943
2100.0,0.378666
2110.0,0.379682
2120.0,0.380334
2130.0,0.381311
2140.0,0.381473
2150.0,0.381268
2160.0,0.380033
2170.0,0.3761
2180.0,0.370274
2190.0,0.363723
2200.0,0.358397
2210.0,0.35514
2220.0,0.354996
2230.0,0.357006
2240.0,0.360135
2250.0,0.362171
2260.0,0.365798
2270.0,0.36826
2280.0,0.369706
2290.0,0.372101
2300.0,0.374544
2310.0,0.376337
2320.0,0.378344
2330.0,0.381564
2340.0,0.383757
2350.0,0.385134
2360.0,0.38659
2370.0,0.387561
2380.0,0.387028
2390.0,0.387255
2400.0,0.386431
2410.0,0.385009
2420.0,0.384733
2430.0,0.382404
2440.0,0.379703
2450.0,0.379067
2460.0,0.375122
2470.0,0.372952
2480.0,0.371039
2490.0,0.368757
2500.0,0.367632
2510.0,0.366842
2520.0,0.365371
2530.0,0.365894
2540.0,0.36457
2550.0,0.363956
2560.0,0.363127
2570.0,0.364098
2580.0,0.363791
2590.0,0.364638
2600.0,0.365463
2610.0,0.365991
2620.0,0.364981
2630.0,0.360339
2640.0,0.359832
2650.0,0.357832
2660.0,0.351081
2670.0,0.342644
2680.0,0.326822
2690.0,0.300126
2700.0,0.259398
