Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:51.343236
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Amph_tektite_glass_tek001_HOSERlab
Sample Name,Amph_tektite_glass_tek001_HOSERlab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0781610137,0.0775446376
R1,436.0,0.0787128072,0.0781556916
L6,482.0,0.0998319876,0.0998660018
L5,535.0,0.1234617138,0.1235067554
L4,601.0,0.1448841043,0.1448902393
L3,673.0,0.1423318053,0.1423113162
L1,739.0,0.1152333372,0.1088240378
L2,753.0,0.115731247,0.1156881227
R2,754.0,0.1153245609,0.1152793315
R3,803.0,0.0966260738,0.0965907344
R4,864.0,0.0776914795,0.077699429
R5,904.0,0.0694660472,0.0694227187
R6,934.0,0.0647686927,0.0647515933
R7,1009.0,0.057239059,0.0571789854
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0798133245,0.0792519352
p5,670.0,0.1427646971,0.1427361256
p6,800.0,0.0973732911,0.0973125004
p7,860.0,0.078774706,0.0787626466
p8,900.0,0.0702370701,0.0701562374
p9,930.0,0.0652448428,0.0652026155
p11,965.0,0.0608120243,0.0607629294
p10,1000.0,0.0575589644,0.057523178
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0804722859,0.0803472211
blue,482.0,0.0998773752,0.1000607107
green,561.0,0.1330999195,0.1331698623
pan,589.0,0.1362700214,0.136836785
red,655.0,0.1450882496,0.145053442
nir,865.0,0.077657359,0.0776315345
cirrus,1373.0,0.0640702104,0.0640758423
swir1,1609.0,0.0764210755,0.07643143
swir2,2200.0,0.098907686,0.0993478673
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0838470477,0.0830093468
bayer_blue,495.0,0.1043615505,0.104439313
filter1_525nm_34mm,527.0,0.1199067547,0.119136184
bayer_green,554.0,0.1278543033,0.1280222182
bayer_red,640.0,0.1441928702,0.1442245909
filter4_675nm_34mm,676.0,0.1417648108,0.1417409685
filter3_750nm_34mm,751.0,0.1162601166,0.1161482061
filter3_800nm_100mm,805.0,0.0958102053,0.0957309573
filter5_865nm_34mm,867.0,0.0771991439,0.0770441586
filter4_905nm_100mm,908.0,0.0690538214,0.0688171096
filter5_935nm_100mm,937.0,0.0648914131,0.0644903493
filter6_1035nm_34mm,1012.0,0.0573617391,0.0567352572
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0801291529,0.0796032193
L0B,482.0,0.0973779119,0.0969898679
L5,528.0,0.1207160289,0.1206011199
L0G,544.0,0.1243374472,0.1246255078
L4,605.0,0.1450696417,0.1449684803
L0R,630.0,0.1432009173,0.1432995922
L3,677.0,0.1412460638,0.1410997675
L2,754.0,0.1151240941,0.1150307852
L1,800.0,0.0969178204,0.0968351701
R2,866.0,0.0772952741,0.0772480362
R3,910.0,0.0684462036,0.0683391214
R4,939.0,0.0639145972,0.0638136274
R5,978.0,0.059417836,0.0593195203
R6,1022.0,0.0560879312,0.0559375013
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.1057781388,0.1051145798
red,685.7899115028,0.1320231598,0.1295017043
nir,878.2928523721,0.0793994576,0.0775510971
