Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:49.330755
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,CARB_Dolomite_HS102-3B_USGS
Sample Name,CARB_Dolomite_HS102-3B_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6936784959,0.6836513687
R1,436.0,0.6981832285,0.6904942027
L6,482.0,0.6961519363,0.6990565596
L5,535.0,0.7127385384,0.70583769
L4,601.0,0.7083568875,0.7076903997
L3,673.0,0.7108919714,0.7114051044
L1,739.0,0.7088398764,0.7073405506
L2,753.0,0.7152814119,0.7151281831
R2,754.0,0.7152389952,0.7151771098
R3,803.0,0.7205363083,0.7149811519
R4,864.0,0.721234289,0.7099880684
R5,904.0,0.7032724996,0.7024442041
R6,934.0,0.6959882721,0.6957979018
R7,1009.0,0.6800089498,0.6793263251
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7019225265,0.6935893557
p5,670.0,0.7097857038,0.7109152398
p6,800.0,0.7196550772,0.7150473146
p7,860.0,0.7287581189,0.7097087652
p8,900.0,0.703916193,0.7033355643
p9,930.0,0.6974448841,0.6965624396
p11,965.0,0.6871640093,0.6853561858
p10,1000.0,0.6797261156,0.679641834
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.6992418917,0.695878317
blue,482.0,0.7014642633,0.6992998221
green,561.0,0.7081897508,0.7067396017
pan,589.0,0.708697097,0.7073770421
red,655.0,0.7094524249,0.7094501065
nir,865.0,0.7201527146,0.7097993609
cirrus,1373.0,0.6777037245,0.6771074257
swir1,1609.0,0.6875463022,0.6867162329
swir2,2200.0,0.6005670934,0.5968852689
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.692439043,0.6842981726
bayer_blue,495.0,0.7005874597,0.7003091403
filter1_525nm_34mm,527.0,0.7017983236,0.7025031111
bayer_green,554.0,0.706351587,0.7055323299
bayer_red,640.0,0.7080087104,0.7088478151
filter4_675nm_34mm,676.0,0.7112766163,0.7113905667
filter3_750nm_34mm,751.0,0.7148210267,0.7144117092
filter3_800nm_100mm,805.0,0.7201014357,0.7146763898
filter5_865nm_34mm,867.0,0.7111743266,0.7096898265
filter4_905nm_100mm,908.0,0.703782633,0.7014132876
filter5_935nm_100mm,937.0,0.6917955857,0.6932911539
filter6_1035nm_34mm,1012.0,0.6771500858,0.6776364519
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.7012968847,0.6928413093
L0B,482.0,0.6995302433,0.6969896138
L5,528.0,0.7055963935,0.7038533962
L0G,544.0,0.7050331561,0.7036208883
L4,605.0,0.707658506,0.7063556669
L0R,630.0,0.7071191222,0.7074165496
L3,677.0,0.7106622179,0.7098379128
L2,754.0,0.714544095,0.7141794417
L1,800.0,0.7195065028,0.7137862991
R2,866.0,0.7165959063,0.7093592283
R3,910.0,0.7032790658,0.7006220748
R4,939.0,0.6896980147,0.6911228071
R5,978.0,0.6833697876,0.6808312575
R6,1022.0,0.6742108335,0.6759676668
