Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:59.308123
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,400.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Chloride_Carnallite_NMNH98011_Crowley
Sample Name,Chloride_Carnallite_NMNH98011_Crowley
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.1189064782,0.1175064308
R1,436.0,0.1198822958,0.1188416157
L6,482.0,0.1275125708,0.1284580863
L5,535.0,0.1410670546,0.1421494837
L4,601.0,0.2362123919,0.236051279
L3,673.0,0.2742075612,0.2743426558
L1,739.0,0.2602052444,0.2738715829
L2,753.0,0.3069724077,0.3069442781
R2,754.0,0.3069649038,0.3069765404
R3,803.0,0.3017755736,0.3010136376
R4,864.0,0.3033610812,0.302484457
R5,904.0,0.3086154317,0.3086870614
R6,934.0,0.3199667727,0.3200227969
R7,1009.0,0.3500257074,0.3502615092
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.1206212002,0.1197222111
p5,670.0,0.2727786077,0.2731350847
p6,800.0,0.3020089241,0.301376605
p7,860.0,0.3024784194,0.2999322562
p8,900.0,0.3078671903,0.3079918212
p9,930.0,0.3187981441,0.3189233883
p11,965.0,0.3350103609,0.3352127574
p10,1000.0,0.3488471679,0.3489960832
