Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.253899
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,4100.07
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,FELD_Maskelynite_LALS91
Sample Name,FELD_Maskelynite_LALS91
Sample Type,
Viewing Geometry,
Wavelength,Response
350.0,0.108497
352.5,0.111456
355.0,0.114415
357.5,0.11697
360.0,0.119526
362.5,0.121734
365.0,0.123942
367.5,0.12623
370.0,0.128518
372.5,0.130915
375.0,0.133311
377.5,0.134816
380.0,0.136321
382.5,0.138175
385.0,0.140029
387.5,0.142164
390.0,0.144298
392.5,0.145557
395.0,0.146816
397.5,0.148789
400.0,0.150762
402.5,0.152281
405.0,0.153801
407.5,0.155316
410.0,0.156831
412.5,0.157722
415.0,0.158613
417.5,0.159373
420.0,0.160133
422.5,0.160802
425.0,0.16147
427.5,0.162021
430.0,0.162571
432.5,0.163224
435.0,0.163878
437.5,0.164402
440.0,0.164925
442.5,0.165419
445.0,0.165912
447.5,0.166266
450.0,0.16662
452.5,0.167151
455.0,0.167683
457.5,0.167992
460.0,0.168301
462.5,0.16873
465.0,0.16916
467.5,0.169342
470.0,0.169523
472.5,0.169704
475.0,0.169885
477.5,0.170385
480.0,0.170886
482.5,0.171268
485.0,0.171651
487.5,0.171982
490.0,0.172314
492.5,0.17291
495.0,0.173506
497.5,0.173567
500.0,0.173627
502.5,0.173601
505.0,0.173576
507.5,0.174099
510.0,0.174622
512.5,0.175279
515.0,0.175937
517.5,0.176349
520.0,0.176762
522.5,0.176791
525.0,0.176821
527.5,0.177226
530.0,0.177632
532.5,0.177933
535.0,0.178233
537.5,0.178423
540.0,0.178613
542.5,0.178707
545.0,0.178801
547.5,0.178549
550.0,0.178298
552.5,0.178331
555.0,0.178365
557.5,0.178386
560.0,0.178407
562.5,0.178354
565.0,0.178301
567.5,0.178273
570.0,0.178245
572.5,0.178073
575.0,0.177901
577.5,0.177873
580.0,0.177844
582.5,0.177605
585.0,0.177366
587.5,0.177441
590.0,0.177516
592.5,0.177554
595.0,0.177592
597.5,0.177327
600.0,0.177063
602.5,0.176762
605.0,0.176461
607.5,0.176636
610.0,0.176812
612.5,0.17696
615.0,0.177109
617.5,0.177045
620.0,0.17698
622.5,0.177137
625.0,0.177295
627.5,0.177545
630.0,0.177795
632.5,0.17774
635.0,0.177685
637.5,0.177819
640.0,0.177952
642.5,0.178306
645.0,0.178659
647.5,0.178672
650.0,0.178685
652.5,0.178738
655.0,0.178792
657.5,0.178898
660.0,0.179004
662.5,0.179188
665.0,0.179373
667.5,0.179373
670.0,0.179373
672.5,0.179471
675.0,0.179569
677.5,0.179846
680.0,0.180122
682.5,0.180154
685.0,0.180185
687.5,0.180132
690.0,0.180078
692.5,0.180195
695.0,0.180312
697.5,0.180357
700.0,0.180402
702.5,0.180052
705.0,0.179701
707.5,0.179686
710.0,0.179671
712.5,0.179702
715.0,0.179732
717.5,0.179694
720.0,0.179656
722.5,0.179531
725.0,0.179407
727.5,0.179406
730.0,0.179404
