Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.891705
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Name,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Type,
Viewing Geometry,
Wavelength,Response
395.1,0.033987
397.1,0.034225
399.1,0.033815
401.1,0.033681
403.1,0.033882
405.1,0.033877
407.1,0.033376
409.1,0.033469
411.1,0.033846
412.8,0.03372
415.8,0.035413
418.8,0.035471
421.8,0.036469
424.8,0.038132
427.8,0.039004
430.8,0.041333
433.8,0.042966
436.8,0.044811
439.8,0.046627
442.8,0.048253
445.8,0.049434
448.8,0.049157
451.3,0.047867
453.3,0.044449
455.3,0.0424
457.3,0.04102
459.3,0.042688
461.3,0.043471
463.3,0.045295
465.3,0.04563
467.3,0.044118
469.3,0.043378
471.3,0.043919
473.3,0.042599
475.3,0.042637
477.3,0.043682
479.3,0.044468
481.3,0.046695
483.3,0.048587
485.3,0.051154
487.3,0.054004
489.3,0.057048
491.3,0.060752
493.3,0.065571
495.3,0.068444
497.3,0.073451
499.3,0.077218
501.3,0.082406
503.3,0.086482
505.3,0.090748
507.3,0.094664
509.3,0.097898
511.3,0.101785
513.3,0.105195
515.3,0.108931
517.3,0.111407
519.3,0.114364
521.3,0.117375
523.3,0.11958
525.3,0.121473
527.3,0.122987
529.3,0.124684
531.3,0.125806
533.3,0.126908
535.3,0.128381
537.3,0.129504
539.3,0.128816
541.3,0.130056
543.3,0.130236
545.3,0.130137
547.3,0.130395
549.3,0.129429
551.3,0.128926
553.3,0.128495
555.3,0.127478
557.3,0.1271
559.3,0.126669
561.3,0.125081
563.3,0.124691
565.3,0.123993
567.3,0.12415
569.3,0.122552
571.3,0.121607
573.3,0.121362
575.3,0.120389
577.3,0.119629
579.3,0.118924
581.3,0.118138
583.3,0.117477
585.3,0.116652
587.3,0.116012
589.3,0.115758
591.3,0.115359
593.3,0.115151
595.3,0.114211
597.3,0.113423
599.3,0.113863
601.1,0.112869
602.7,0.113905
604.3,0.112605
605.9,0.113374
607.5,0.112691
609.1,0.11339
610.7,0.113609
612.3,0.114004
613.9,0.114129
615.5,0.114223
617.1,0.114112
618.7,0.115491
620.3,0.114873
621.9,0.116327
623.5,0.116411
625.1,0.116815
626.7,0.11825
628.3,0.119456
629.9,0.119547
631.7,0.120688
633.7,0.120975
635.7,0.122644
637.7,0.124356
639.7,0.125168
641.7,0.126297
643.7,0.128158
645.7,0.130792
647.7,0.131339
649.7,0.133686
651.7,0.135715
653.7,0.137244
655.7,0.139453
657.7,0.141019
659.7,0.143207
661.7,0.145302
663.7,0.147527
665.7,0.14941
667.7,0.151553
670.2,0.154244
673.2,0.157318
676.2,0.160346
679.2,0.164063
682.2,0.167936
685.2,0.169741
688.2,0.173024
691.2,0.175186
694.2,0.178943
697.2,0.180991
700.2,0.183655
702.0,0.184907
704.0,0.186704
706.0,0.187886
708.0,0.189878
710.0,0.191203
712.0,0.192617
714.0,0.193915
716.0,0.194942
718.0,0.195931
720.0,0.197293
722.0,0.198938
724.0,0.199319
726.0,0.201182
728.0,0.202536
730.0,0.203406
732.0,0.20426
734.0,0.205949
736.0,0.206839
738.0,0.207576
740.0,0.20806
742.0,0.209478
744.0,0.211076
746.0,0.212103
748.0,0.213118
750.5,0.214339
753.5,0.216821
756.5,0.218793
759.5,0.219289
762.5,0.221884
765.5,0.223681
768.5,0.224781
771.5,0.227213
774.5,0.228852
777.5,0.230817
781.0,0.233209
785.0,0.23512
789.0,0.23723
793.0,0.239395
797.0,0.241943
801.5,0.24396
806.5,0.245851
811.5,0.248408
816.5,0.250336
822.0,0.252461
828.0,0.253759
835.0,0.255152
843.0,0.256028
851.0,0.258491
859.0,0.261333
871.0,0.258514
883.0,0.260611
894.0,0.25993
904.0,0.255997
914.0,0.254278
924.0,0.248982
933.0,0.245478
