Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.891705
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Name,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0429696751,0.0421110668
R1,436.0,0.0434993282,0.0427882551
L6,482.0,0.0514776362,0.0518812526
L5,535.0,0.1283888623,0.1271651367
L4,601.0,0.1137750655,0.1136702852
L3,673.0,0.1566066291,0.15682649
L1,739.0,0.1772701792,0.192131321
L2,753.0,0.2160881093,0.2161098677
R2,754.0,0.2166413601,0.2166944882
R3,803.0,0.2457457757,0.2438969819
R4,864.0,0.2639651775,0.2598137245
R5,904.0,0.256916309,0.2565459743
R6,934.0,0.2462605885,0.2461653202
R7,1009.0,0.2290186693,0.228768036
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0441503279,0.0434134382
p5,670.0,0.1536909803,0.1540806867
p6,800.0,0.2443796048,0.2428930566
p7,860.0,0.2665548821,0.2595823635
p8,900.0,0.2573239872,0.2570355065
p9,930.0,0.2476852931,0.2472955085
p11,965.0,0.2369864703,0.2362706939
p10,1000.0,0.2288078291,0.2287323812
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0476739949,0.0474005842
blue,482.0,0.0592785694,0.0594615015
green,561.0,0.1247285586,0.1244076644
pan,589.0,0.1231762768,0.1235480134
red,655.0,0.1386085509,0.1388618774
nir,865.0,0.2634809032,0.2596741101
cirrus,1373.0,0.42250198,0.4221331813
swir1,1609.0,0.4652791372,0.4655015695
swir2,2200.0,0.5616268727,0.5528960661
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0611863123,0.0695332108
bayer_blue,495.0,0.0745855291,0.0759691715
filter1_525nm_34mm,527.0,0.1227458061,0.1242692426
bayer_green,554.0,0.1176778437,0.1182764975
bayer_red,640.0,0.1296527436,0.1308567787
filter4_675nm_34mm,676.0,0.1598640583,0.1600123675
filter3_750nm_34mm,751.0,0.2144598795,0.2146107102
filter3_800nm_100mm,805.0,0.2461381219,0.24454364
filter5_865nm_34mm,867.0,0.2588892703,0.2588375651
filter4_905nm_100mm,908.0,0.2545927456,0.2543548305
filter5_935nm_100mm,937.0,0.2420670929,0.2435191315
filter6_1035nm_34mm,1012.0,0.2266168738,0.2278858861
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0467626844,0.0459415754
L0B,482.0,0.0622787534,0.0622004173
L5,528.0,0.1227531125,0.1223375434
L0G,544.0,0.1117616235,0.1119899686
L4,605.0,0.1135290056,0.1133389803
L0R,630.0,0.1261392138,0.1272634981
L3,677.0,0.1611186489,0.1610968229
L2,754.0,0.2163242866,0.2163408986
L1,800.0,0.2446406938,0.2428612519
R2,866.0,0.261871964,0.2593545568
R3,910.0,0.2549270328,0.2541074261
R4,939.0,0.2424274709,0.2431579811
R5,978.0,0.2319056909,0.2313336152
R6,1022.0,0.2266935785,0.2277300217
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.0833904943,0.0838369078
red,685.7899115028,0.163055761,0.1707470519
nir,878.2928523721,0.2512873527,0.24939472
