Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.891705
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Name,HydSil_Epidote_GDS26-a_75-200um_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0429696751,0.0421110668
R1,436.0,0.0434993282,0.0427882551
L6,482.0,0.0514776362,0.0518812526
L5,535.0,0.1283888623,0.1271651367
L4,601.0,0.1137750655,0.1136702852
L3,673.0,0.1566066291,0.15682649
L1,739.0,0.1772701792,0.192131321
L2,753.0,0.2160881093,0.2161098677
R2,754.0,0.2166413601,0.2166944882
R3,803.0,0.2457457757,0.2438969819
R4,864.0,0.2639651775,0.2598137245
R5,904.0,0.256916309,0.2565459743
R6,934.0,0.2462605885,0.2461653202
R7,1009.0,0.2290186693,0.228768036
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0441503279,0.0434134382
p5,670.0,0.1536909803,0.1540806867
p6,800.0,0.2443796048,0.2428930566
p7,860.0,0.2665548821,0.2595823635
p8,900.0,0.2573239872,0.2570355065
p9,930.0,0.2476852931,0.2472955085
p11,965.0,0.2369864703,0.2362706939
p10,1000.0,0.2288078291,0.2287323812
