Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.288238
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Prehnite_LAZE03_RELAB
Sample Name,HydSil_Prehnite_LAZE03_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7057161388,0.6950890705
R1,436.0,0.7107265098,0.702472289
L6,482.0,0.7213806264,0.7244302441
L5,535.0,0.7415082261,0.7343247484
L4,601.0,0.7359666503,0.7352739439
L3,673.0,0.7330649043,0.7335762946
L1,739.0,0.7339089509,0.7333010978
L2,753.0,0.7335656607,0.7334174388
R2,754.0,0.7334957568,0.7334420069
R3,803.0,0.7395195562,0.7338085196
R4,864.0,0.7462366116,0.7345636615
R5,904.0,0.7354346582,0.7346080498
R6,934.0,0.7354340391,0.7353263388
R7,1009.0,0.7367466579,0.7361251395
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7154942923,0.7065525708
p5,670.0,0.7325627096,0.7337079565
p6,800.0,0.7386421175,0.7339065141
p7,860.0,0.7542039505,0.7344763291
p8,900.0,0.7350904796,0.7345794734
p9,930.0,0.736057068,0.7352638723
p11,965.0,0.7377686465,0.7359401734
p10,1000.0,0.7359255014,0.7359050546
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.7135423584,0.7100492878
blue,482.0,0.726380887,0.7241986025
green,561.0,0.7374475719,0.7359337067
pan,589.0,0.7361212262,0.734620042
red,655.0,0.7342813253,0.7342566151
nir,865.0,0.7452528248,0.7345163671
cirrus,1373.0,0.7355800868,0.7349264823
swir1,1609.0,0.737416459,0.736561498
swir2,2200.0,0.6797153185,0.6784627187
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.7085382282,0.7013578904
bayer_blue,495.0,0.725543069,0.7253108053
filter1_525nm_34mm,527.0,0.7302310855,0.7311859972
bayer_green,554.0,0.7349563912,0.7341775232
bayer_red,640.0,0.7336962497,0.7344440502
filter4_675nm_34mm,676.0,0.7332488299,0.7333557721
filter3_750nm_34mm,751.0,0.7332799659,0.7329033353
filter3_800nm_100mm,805.0,0.7389530108,0.7333861183
filter5_865nm_34mm,867.0,0.7356511284,0.7341260859
filter4_905nm_100mm,908.0,0.7366025122,0.7342049563
filter5_935nm_100mm,937.0,0.7330152993,0.7348347714
filter6_1035nm_34mm,1012.0,0.734500186,0.7355138772
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.7154855042,0.7065556645
L0B,482.0,0.7220694427,0.7192048808
L5,528.0,0.7338377538,0.7320032456
L0G,544.0,0.7332185486,0.7317456218
L4,605.0,0.7352781585,0.7339237821
L0R,630.0,0.7329622391,0.7331677542
L3,677.0,0.7325183755,0.7316619425
L2,754.0,0.7326948339,0.732330163
L1,800.0,0.7385583066,0.7326753037
R2,866.0,0.741362394,0.7338455625
R3,910.0,0.7362886448,0.7335448831
R4,939.0,0.731840843,0.7334831218
R5,978.0,0.7368999201,0.7342439225
R6,1022.0,0.7321806088,0.7342985734
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.7200050958,0.7136464514
red,685.7899115028,0.7340401316,0.7341956973
nir,878.2928523721,0.7388185724,0.7347139794
