Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.488303
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Pumpellyite-purityUnknown_LAZE02_RELAB
Sample Name,HydSil_Pumpellyite-purityUnknown_LAZE02_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4748642478,0.4662669295
R1,436.0,0.4795695945,0.4725490274
L6,482.0,0.5253905839,0.527792953
L5,535.0,0.6072926066,0.6014409262
L4,601.0,0.602586139,0.6019953707
L3,673.0,0.5667560018,0.5671322314
L1,739.0,0.5695314956,0.5647633525
L2,753.0,0.5788923343,0.5787783918
R2,754.0,0.5789114414,0.57887174
R3,803.0,0.5711648968,0.5667042978
R4,864.0,0.5517286656,0.5430715075
R5,904.0,0.5399621097,0.5393195875
R6,934.0,0.5368320703,0.5367319665
R7,1009.0,0.5304046144,0.5299193865
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.4853086588,0.4777465589
p5,670.0,0.5671832613,0.5680393068
p6,800.0,0.571326366,0.567589166
p7,860.0,0.558676091,0.5440178002
p8,900.0,0.5400671563,0.539643122
p9,930.0,0.5375038098,0.5368874531
p11,965.0,0.5345331341,0.5331573957
p10,1000.0,0.5298795921,0.5298299715
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.4900861906,0.4874850939
blue,482.0,0.5339919121,0.5327615585
green,561.0,0.6092813548,0.6080530614
pan,589.0,0.5943667014,0.5924502419
red,655.0,0.5741317669,0.5739790452
nir,865.0,0.551178359,0.54319651
cirrus,1373.0,0.6490698494,0.6485127216
swir1,1609.0,0.7053098082,0.7046006585
swir2,2200.0,0.6398593443,0.636488382
