Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.709366
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Ice_WaterIce_WS08_HOSERLab
Sample Name,Ice_WaterIce_WS08_HOSERLab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.3118840901,0.3119700837
R1,436.0,0.3117828209,0.3118521328
L6,482.0,0.3096558929,0.3096523797
L5,535.0,0.3073223653,0.3073170433
L4,601.0,0.3055612523,0.3055592906
L3,673.0,0.3035183143,0.3035149213
L1,739.0,0.3010526455,0.2992055901
L2,753.0,0.2997948958,0.2997890086
R2,754.0,0.2997395093,0.2997333302
R3,803.0,0.2972871396,0.2972837009
R4,864.0,0.2948525537,0.2948542584
R5,904.0,0.2923282639,0.292323857
R6,934.0,0.2912233838,0.2912096873
R7,1009.0,0.2741981513,0.2741185364
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.3116187864,0.3116809981
p5,670.0,0.3035912429,0.3035863478
p6,800.0,0.2973790402,0.2973726214
p7,860.0,0.2951251225,0.295123137
p8,900.0,0.2925130446,0.2924985865
p9,930.0,0.2912549147,0.2912292646
p11,965.0,0.2841845651,0.2840579648
p10,1000.0,0.2739128887,0.2738030652
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.31143059,0.3114415523
blue,482.0,0.3096362381,0.3096184837
green,561.0,0.3066268179,0.3066222352
pan,589.0,0.305968091,0.3058756748
red,655.0,0.3042019513,0.3041873193
nir,865.0,0.294790538,0.2947820596
cirrus,1373.0,0.1453132889,0.1452146326
swir1,1609.0,0.026283855,0.0264892313
swir2,2200.0,0.0183061884,0.0186962249
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.3101305833,0.3090632996
bayer_blue,495.0,0.3090963194,0.3089531066
filter1_525nm_34mm,527.0,0.3074672723,0.3071990582
bayer_green,554.0,0.3069636506,0.3068460794
bayer_red,640.0,0.3047139836,0.3046547117
filter4_675nm_34mm,676.0,0.3034262796,0.3034223921
filter3_750nm_34mm,751.0,0.2999080522,0.2998693799
filter3_800nm_100mm,805.0,0.2972345014,0.297206957
filter5_865nm_34mm,867.0,0.2946957725,0.2946298273
filter4_905nm_100mm,908.0,0.2923701175,0.2922906665
filter5_935nm_100mm,937.0,0.2910500789,0.2909154918
filter6_1035nm_34mm,1012.0,0.2743720235,0.2741632992
