Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:09:01.023121
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2750.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,OLV_Fo90_c1po50_RELAB
Sample Name,OLV_Fo90_c1po50_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6599816454,0.6590149204
R1,436.0,0.661209361,0.6604442418
L6,482.0,0.6953342726,0.6953942505
L5,535.0,0.7410077587,0.7410809578
L4,601.0,0.7524047902,0.7523896442
L3,673.0,0.7456569349,0.7456533537
L1,739.0,0.6957894695,0.6789554675
L2,753.0,0.701560266,0.7014561792
R2,754.0,0.7006129992,0.7005030099
R3,803.0,0.6542128735,0.6541252845
R4,864.0,0.614998181,0.6150191419
R5,904.0,0.5955032278,0.5953463101
R6,934.0,0.572595592,0.5724816488
R7,1009.0,0.4990095845,0.4983962299
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6638040755,0.6630803663
p5,670.0,0.7454432939,0.745441078
p6,800.0,0.6560782303,0.655930371
p7,860.0,0.6170123779,0.6170045137
p8,900.0,0.5975509738,0.5972842584
p9,930.0,0.5749127891,0.5746574152
p11,965.0,0.5384639395,0.5379616493
p10,1000.0,0.5017229771,0.5013123713
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.6576340615,0.6661902176
blue,482.0,0.698277794,0.6958343889
green,561.0,0.7504631674,0.7518090311
pan,589.0,0.7476573297,0.7454392649
red,655.0,0.7475700441,0.7440667456
nir,865.0,0.610517673,0.614962747
cirrus,1373.0,0.6285340282,0.6293265697
swir1,1609.0,0.76577256,0.768698766
swir2,2200.0,0.7974715334,0.7967391056
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.6659163385,0.6599541595
bayer_blue,495.0,0.7037555199,0.7033849365
filter1_525nm_34mm,527.0,0.7335542571,0.7308282675
bayer_green,554.0,0.7422179469,0.7417996284
bayer_red,640.0,0.7458915976,0.7458011396
filter4_675nm_34mm,676.0,0.7455517991,0.7455424413
filter3_750nm_34mm,751.0,0.7027646767,0.7024129087
filter3_800nm_100mm,805.0,0.6522581927,0.6520198839
filter5_865nm_34mm,867.0,0.6141862621,0.6137232984
filter4_905nm_100mm,908.0,0.5935229123,0.5928432772
filter5_935nm_100mm,937.0,0.5703694672,0.5691903963
filter6_1035nm_34mm,1012.0,0.4947320446,0.4920755055
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.6648596273,0.6639747015
L0B,482.0,0.692318272,0.6915793087
L5,528.0,0.7360903675,0.7357398913
L0G,544.0,0.7372787393,0.7373847893
L4,605.0,0.751428049,0.7510778795
L0R,630.0,0.7445497375,0.7443103821
L3,677.0,0.7448725886,0.7444744163
L2,754.0,0.7001351039,0.6998422793
L1,800.0,0.6548551318,0.6545880683
R2,866.0,0.6143018019,0.6141530791
R3,910.0,0.5915594311,0.5912071199
R4,939.0,0.5666645182,0.5662597364
R5,978.0,0.5234969992,0.523031325
R6,1022.0,0.488199311,0.4872948539
