Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:49.954400
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,248.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Hematite_gds27.9282_USGS
Sample Name,Oxide_Hematite_gds27.9282_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0206585353,0.0204799077
R1,436.0,0.0206633115,0.0204905951
L6,482.0,0.0202405663,0.020326299
L5,535.0,0.0241241547,0.0238986011
L4,601.0,0.1477156369,0.1476813238
L3,673.0,0.2174403162,0.217717853
L1,739.0,0.2024583532,0.222597806
L2,753.0,0.3089836328,0.3088668508
R2,754.0,0.3085357307,0.308452571
R3,803.0,0.2639758322,0.261836938
R4,864.0,0.2354179332,0.231717514
R5,904.0,0.2424388858,0.2423118096
R6,934.0,0.2673704186,0.2675283226
R7,1009.0,0.3943994666,0.395823877
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0207023741,0.0204869811
p5,670.0,0.2145276649,0.2150305515
p6,800.0,0.2658244499,0.2639568309
p7,860.0,0.2384446665,0.2321922351
p8,900.0,0.2410488349,0.2411025617
p9,930.0,0.2650175962,0.2650924513
p11,965.0,0.3171766898,0.3171719174
p10,1000.0,0.385677442,0.3867294162
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0206193304,0.0205226296
blue,482.0,0.0206314025,0.0205724042
green,561.0,0.0479191932,0.0482100341
pan,589.0,0.1079100848,0.1128849153
red,655.0,0.2004400202,0.2006528786
nir,865.0,0.235493211,0.2320900247
cirrus,1373.0,0.8210977004,0.8203407446
swir1,1609.0,0.8351277239,0.8341469786
swir2,2200.0,0.8115992655,0.8131679231
