Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:49.839676
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,229.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Ilmenite_hs231.11099_USGS
Sample Name,Oxide_Ilmenite_hs231.11099_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0559452042,0.0555357905
R1,436.0,0.0558400502,0.055427646
L6,482.0,0.0533158657,0.053531959
L5,535.0,0.0544057211,0.0538699812
L4,601.0,0.0551710061,0.0551232031
L3,673.0,0.0567803208,0.056823496
L1,739.0,0.058304035,0.0591613217
L2,753.0,0.0599622424,0.0599516949
R2,754.0,0.0599704009,0.0599679047
R3,803.0,0.0618312366,0.0613557131
R4,864.0,0.0652409839,0.0642094908
R5,904.0,0.065060056,0.0649837715
R6,934.0,0.0630699079,0.0630546255
R7,1009.0,0.0623100078,0.0622651301
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0558077841,0.0552640578
p5,670.0,0.0566433942,0.0567371985
p6,800.0,0.0617045649,0.0613124282
p7,860.0,0.0656252415,0.0639115191
p8,900.0,0.0646746116,0.0646384068
p9,930.0,0.0633631336,0.063278633
p11,965.0,0.0633662884,0.0632034045
p10,1000.0,0.0620683879,0.0620643073
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0552198942,0.0549669426
blue,482.0,0.0537434487,0.0535673263
green,561.0,0.0543144201,0.0542072107
pan,589.0,0.0549135175,0.0548761694
red,655.0,0.0562325738,0.0562412167
nir,865.0,0.0648733933,0.0639288245
cirrus,1373.0,0.0615724667,0.0615202757
swir1,1609.0,0.0613604748,0.0612911946
swir2,2200.0,0.0662020413,0.0664274557
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0556465829,0.0558077065
bayer_blue,495.0,0.0538070022,0.0538458635
filter1_525nm_34mm,527.0,0.0535818883,0.0538245707
bayer_green,554.0,0.054150113,0.0541414135
bayer_red,640.0,0.0556707483,0.0557784109
filter4_675nm_34mm,676.0,0.0569509656,0.0569652612
filter3_750nm_34mm,751.0,0.0599199779,0.0599058534
filter3_800nm_100mm,805.0,0.0618443905,0.0613911192
filter5_865nm_34mm,867.0,0.0642125033,0.0640832386
filter4_905nm_100mm,908.0,0.0651819237,0.0649804488
filter5_935nm_100mm,937.0,0.0627074319,0.0628904821
filter6_1035nm_34mm,1012.0,0.0621016362,0.0622226529
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0555934136,0.0550923837
L0B,482.0,0.0541236338,0.0540470364
L5,528.0,0.0538794297,0.0537894648
L0G,544.0,0.0540310183,0.0539979278
L4,605.0,0.0552296225,0.0551832646
L0R,630.0,0.0555414686,0.0556510947
L3,677.0,0.0570395252,0.0570396054
L2,754.0,0.0599635083,0.0599673284
L1,800.0,0.0617909717,0.0613292172
R2,866.0,0.0648110779,0.0641544226
R3,910.0,0.0650451255,0.0647968549
R4,939.0,0.0627462824,0.0628851915
R5,978.0,0.0629076322,0.0626722285
R6,1022.0,0.0620740958,0.0622439971
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.054464875,0.0544122318
red,685.7899115028,0.0571322145,0.0575490727
nir,878.2928523721,0.0630716503,0.0628092163
