Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:49.642447
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Maghemite_gds81.13124_USGS
Sample Name,Oxide_Maghemite_gds81.13124_USGS
Sample Type,
Viewing Geometry,
Wavelength,Response
221.1,0.002584
229.1,0.005833
236.1,0.006428
242.1,0.006791
248.1,0.008905
253.6,0.009546
258.6,0.008138
263.6,0.00792
268.6,0.008113
273.1,0.009687
277.1,0.008238
281.1,0.00838
285.1,0.007334
289.1,0.007879
293.1,0.008546
297.1,0.008574
301.1,0.010559
305.1,0.008191
309.1,0.009379
313.1,0.009336
317.1,0.009756
321.1,0.009741
325.1,0.009734
329.1,0.01009
333.1,0.010336
337.1,0.011053
341.1,0.01022
345.1,0.010781
349.1,0.010284
353.1,0.010334
357.1,0.011415
360.6,0.010584
363.6,0.010939
366.6,0.010972
369.6,0.010926
372.6,0.011314
375.6,0.01127
378.6,0.011162
381.1,0.011185
383.1,0.011477
385.1,0.011654
387.1,0.011494
389.1,0.011471
391.1,0.011812
393.1,0.012233
395.1,0.011846
397.1,0.01227
399.1,0.013533
401.1,0.012092
403.1,0.011839
405.1,0.012925
407.1,0.012385
409.1,0.012654
411.1,0.012834
412.8,0.012506
415.8,0.013638
418.8,0.013057
421.8,0.013907
424.8,0.013886
427.8,0.013569
430.8,0.014061
433.8,0.014033
436.8,0.014864
439.8,0.014592
442.8,0.014968
445.8,0.015407
448.8,0.014851
451.3,0.01565
453.3,0.016307
455.3,0.015688
457.3,0.01565
459.3,0.015188
461.3,0.016289
463.3,0.016848
465.3,0.017006
467.3,0.016702
469.3,0.016815
471.3,0.017176
473.3,0.018014
475.3,0.017588
477.3,0.017979
479.3,0.017335
481.3,0.018003
483.3,0.018426
485.3,0.019369
487.3,0.018176
489.3,0.018543
491.3,0.019183
493.3,0.01927
495.3,0.020867
497.3,0.019498
499.3,0.021745
501.3,0.021997
503.3,0.021412
505.3,0.022621
507.3,0.024024
509.3,0.023225
511.3,0.024385
513.3,0.024662
515.3,0.024515
517.3,0.025662
519.3,0.02613
521.3,0.027614
523.3,0.028604
525.3,0.028843
527.3,0.028763
529.3,0.030165
531.3,0.031535
533.3,0.030452
535.3,0.033125
537.3,0.032789
539.3,0.034481
541.3,0.035652
543.3,0.036843
545.3,0.037364
547.3,0.038403
549.3,0.039508
551.3,0.040778
553.3,0.041406
555.3,0.043253
557.3,0.042873
559.3,0.045545
561.3,0.046756
563.3,0.048755
565.3,0.050133
567.3,0.050497
569.3,0.051802
571.3,0.054412
573.3,0.05573
575.3,0.057434
577.3,0.059134
579.3,0.060953
581.3,0.062822
583.3,0.065317
585.3,0.066865
587.3,0.069052
589.3,0.071275
591.3,0.073004
593.3,0.075523
595.3,0.077225
597.3,0.079699
599.3,0.082391
601.1,0.083965
602.7,0.086164
604.3,0.087744
605.9,0.089292
607.5,0.091614
609.1,0.092934
610.7,0.095132
612.3,0.096917
613.9,0.098384
615.5,0.100332
617.1,0.101365
618.7,0.103631
620.3,0.105224
621.9,0.106542
623.5,0.108793
625.1,0.110228
626.7,0.111761
628.3,0.113088
629.9,0.115246
631.7,0.116505
633.7,0.118044
635.7,0.119861
637.7,0.121511
639.7,0.124171
641.7,0.125545
643.7,0.12784
645.7,0.128814
647.7,0.13123
649.7,0.131982
651.7,0.135037
653.7,0.135941
655.7,0.137883
657.7,0.140046
659.7,0.142097
661.7,0.144283
663.7,0.146482
665.7,0.148677
667.7,0.1503
670.2,0.154015
673.2,0.157213
676.2,0.161121
679.2,0.165735
682.2,0.169094
685.2,0.174448
688.2,0.17716
691.2,0.181752
694.2,0.185873
697.2,0.190943
700.2,0.193978
702.0,0.196139
704.0,0.199249
706.0,0.202408
708.0,0.204569
710.0,0.20736
712.0,0.209803
714.0,0.212682
716.0,0.214822
718.0,0.217306
720.0,0.219929
722.0,0.221933
724.0,0.224556
726.0,0.226521
728.0,0.228912
730.0,0.230565
732.0,0.233017
734.0,0.234609
736.0,0.236818
738.0,0.238538
740.0,0.240515
742.0,0.241396
744.0,0.242724
746.0,0.245444
748.0,0.245595
750.5,0.246892
753.5,0.24868
756.5,0.250522
759.5,0.251912
762.5,0.253149
765.5,0.254605
768.5,0.255594
771.5,0.255633
774.5,0.256342
777.5,0.256516
781.0,0.25822
785.0,0.257948
789.0,0.258526
793.0,0.260015
797.0,0.260269
801.5,0.259131
806.5,0.259171
811.5,0.259287
816.5,0.259473
822.0,0.258698
828.0,0.257968
835.0,0.255432
843.0,0.255151
851.0,0.255468
859.0,0.251429
871.0,0.249375
883.0,0.246128
894.0,0.24485
904.0,0.245687
914.0,0.240994
924.0,0.240658
933.0,0.240563
941.0,0.239292
949.0,0.236206
957.0,0.238693
964.0,0.238786
970.0,0.236792
976.0,0.23785
982.0,0.239465
988.0,0.237932
994.0,0.239514
1000.0,0.241202
1006.0,0.239591
1012.0,0.23874
1018.0,0.239256
1023.5,0.240499
1028.5,0.242377
1033.5,0.241092
1038.5,0.241089
1043.5,0.243391
1048.5,0.243665
1053.5,0.242921
1058.5,0.245731
1063.5,0.244404
1068.5,0.24472
1073.5,0.244611
1078.5,0.246191
1083.5,0.247529
1088.5,0.247781
1093.5,0.248637
1098.5,0.249241
1103.5,0.249767
1108.5,0.25144
1113.5,0.251042
1118.5,0.251841
1123.5,0.252144
1128.5,0.252526
1133.5,0.251735
1138.5,0.253422
1143.5,0.253887
1148.5,0.254765
1153.5,0.255071
1158.5,0.255214
1163.5,0.255355
1168.5,0.255462
1173.5,0.255364
1178.5,0.254924
1183.5,0.256425
1188.5,0.256583
1193.5,0.257376
1198.5,0.256086
1203.5,0.257525
1208.5,0.257691
1213.5,0.257759
1218.5,0.25805
1223.5,0.257578
1228.5,0.259069
1233.5,0.257023
1238.5,0.257729
1243.5,0.259239
1248.5,0.257398
1253.5,0.258546
1258.5,0.257817
1263.5,0.258634
1268.5,0.258772
1273.5,0.257941
1278.5,0.257783
1283.5,0.258331
1288.5,0.257113
1293.5,0.257122
1298.5,0.257489
1303.5,0.256065
1308.5,0.256481
1313.5,0.257028
1318.5,0.255759
1323.5,0.255812
1328.5,0.255826
1333.5,0.255687
1338.5,0.254505
1343.5,0.255323
1348.5,0.25432
1353.5,0.254352
1358.5,0.253398
1363.5,0.253917
1368.5,0.254648
1373.5,0.253108
1378.5,0.253573
1383.5,0.252679
1388.5,0.253445
1393.5,0.252318
1398.5,0.252806
1403.5,0.251704
1408.5,0.250986
1413.5,0.251161
1418.5,0.249077
1423.5,0.249916
1428.5,0.249056
1433.5,0.249696
1438.5,0.250017
1443.5,0.248709
1448.5,0.24744
1453.5,0.248839
1458.5,0.248437
