Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:47.616395
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_Actinolite_NMNHR16485_USGS
Sample Name,Phyllo_Actinolite_NMNHR16485_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4445858193,0.4372564362
R1,436.0,0.4485388629,0.4426996715
L6,482.0,0.4984432999,0.5007612895
L5,535.0,0.5427885714,0.5375152422
L4,601.0,0.4996203804,0.4991078696
L3,673.0,0.4729829686,0.4733444537
L1,739.0,0.4998841786,0.4967125909
L2,753.0,0.5106578494,0.5106247995
R2,754.0,0.5112480731,0.5112845643
R3,803.0,0.5412366262,0.5370839189
R4,864.0,0.5349750161,0.5265272976
R5,904.0,0.4976983813,0.4968506729
R6,934.0,0.462028666,0.4617356849
R7,1009.0,0.3748442235,0.3741731025
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.453965975,0.4476095391
p5,670.0,0.4723124048,0.4730850479
p6,800.0,0.5398464864,0.5364323739
p7,860.0,0.5421093703,0.5278357193
p8,900.0,0.5006746234,0.4998768676
p9,930.0,0.4659887701,0.4650451605
p11,965.0,0.4176602201,0.4160164088
p10,1000.0,0.3741541535,0.3737098443
