Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.122757
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Name,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Type,
Viewing Geometry,
Wavelength,Response
395.1,0.642811
397.1,0.648643
399.1,0.655429
401.1,0.662483
403.1,0.66773
405.1,0.671694
407.1,0.677818
409.1,0.683116
411.1,0.687731
412.8,0.691674
415.8,0.697424
418.8,0.705169
421.8,0.7115
424.8,0.716699
427.8,0.722153
430.8,0.729399
433.8,0.734389
436.8,0.740517
439.8,0.745962
442.8,0.751433
445.8,0.755384
448.8,0.759607
451.3,0.763852
453.3,0.766603
455.3,0.767674
457.3,0.772163
459.3,0.772752
461.3,0.776395
463.3,0.7786
465.3,0.780434
467.3,0.783822
469.3,0.785839
471.3,0.788898
473.3,0.790319
475.3,0.791743
477.3,0.795495
479.3,0.798129
481.3,0.79964
483.3,0.800377
485.3,0.80396
487.3,0.806067
489.3,0.808802
491.3,0.810128
493.3,0.81276
495.3,0.814882
497.3,0.816904
499.3,0.81839
501.3,0.82157
503.3,0.821733
505.3,0.823715
507.3,0.827828
509.3,0.828584
511.3,0.831034
513.3,0.833787
515.3,0.835268
517.3,0.837074
519.3,0.83835
521.3,0.841492
523.3,0.842677
525.3,0.84331
527.3,0.844811
529.3,0.847499
531.3,0.84898
533.3,0.850981
535.3,0.852843
537.3,0.854382
539.3,0.855431
541.3,0.857321
543.3,0.858557
545.3,0.85825
547.3,0.86092
549.3,0.862258
551.3,0.862549
553.3,0.862583
555.3,0.865412
557.3,0.867311
559.3,0.8694
561.3,0.871868
563.3,0.869689
565.3,0.87197
567.3,0.871216
569.3,0.873309
571.3,0.874461
573.3,0.875887
575.3,0.876368
577.3,0.879226
579.3,0.881328
581.3,0.880569
583.3,0.879621
585.3,0.881438
587.3,0.884204
589.3,0.883635
591.3,0.885637
593.3,0.887544
595.3,0.887348
597.3,0.888206
599.3,0.889626
601.1,0.89334
602.7,0.89247
604.3,0.892854
605.9,0.893412
607.5,0.894458
609.1,0.894927
610.7,0.895864
612.3,0.896441
613.9,0.897376
615.5,0.898146
617.1,0.898917
618.7,0.898614
620.3,0.899546
621.9,0.901555
623.5,0.901941
625.1,0.901247
626.7,0.902871
628.3,0.903722
629.9,0.902677
631.7,0.904843
633.7,0.906082
635.7,0.90635
637.7,0.907006
639.7,0.908512
641.7,0.907467
643.7,0.909167
645.7,0.911257
647.7,0.908777
649.7,0.913153
651.7,0.911255
653.7,0.913416
655.7,0.91237
657.7,0.914853
659.7,0.91492
661.7,0.917667
663.7,0.915899
665.7,0.917994
667.7,0.920352
670.2,0.920092
673.2,0.919698
676.2,0.921536
679.2,0.923896
682.2,0.923577
685.2,0.924233
688.2,0.926279
691.2,0.928531
694.2,0.929075
697.2,0.92922
700.2,0.928105
702.0,0.930058
704.0,0.929511
706.0,0.932387
708.0,0.932024
710.0,0.932941
712.0,0.935122
714.0,0.93497
716.0,0.936142
718.0,0.938646
720.0,0.933391
722.0,0.936296
724.0,0.938754
726.0,0.939323
728.0,0.939941
730.0,0.94056
732.0,0.939481
734.0,0.938148
736.0,0.940466
738.0,0.940005
740.0,0.939289
742.0,0.941615
744.0,0.943324
746.0,0.941315
748.0,0.942401
750.5,0.944652
753.5,0.944399
756.5,0.944565
759.5,0.946456
762.5,0.945949
765.5,0.946582
768.5,0.943757
771.5,0.946962
774.5,0.947173
777.5,0.948109
781.0,0.948027
785.0,0.948625
789.0,0.947647
793.0,0.948247
797.0,0.946709
801.5,0.949627
806.5,0.950449
811.5,0.950154
816.5,0.954494
822.0,0.956426
828.0,0.956288
835.0,0.957474
843.0,0.958417
851.0,0.954422
859.0,0.95493
871.0,0.958622
883.0,0.953038
894.0,0.955769
904.0,0.954604
914.0,0.958215
924.0,0.961111
933.0,0.954131
941.0,0.954131
949.0,0.947232
957.0,0.945667
964.0,0.940244
970.0,0.947273
976.0,0.954165
982.0,0.963683
988.0,0.963877
994.0,0.962331
1000.0,0.966617
1006.0,0.961142
1012.0,0.96704
1018.0,0.966572
1023.5,0.964967
