Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.122757
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Name,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7379861916,0.7256921085
R1,436.0,0.744571285,0.7347532853
L6,482.0,0.7965643193,0.8000814443
L5,535.0,0.8604461433,0.8521560964
L4,601.0,0.8924223249,0.8916127508
L3,673.0,0.9197469789,0.9204367194
L1,739.0,0.9146240557,0.9234682309
L2,753.0,0.9444123766,0.9442390803
R2,754.0,0.9445367847,0.9444859368
R3,803.0,0.956589393,0.9492298082
R4,864.0,0.9716313536,0.9564602847
R5,904.0,0.9571691453,0.9561207647
R6,934.0,0.9558508569,0.9556603549
R7,1009.0,0.9648387517,0.9640949767
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7524290953,0.7418434149
p5,670.0,0.9178993941,0.9193956935
p6,800.0,0.9552410532,0.9491531506
p7,860.0,0.9816305279,0.9559693433
p8,900.0,0.9564825573,0.9558474536
p9,930.0,0.9567259186,0.9556249339
p11,965.0,0.9524156335,0.9501473045
p10,1000.0,0.9632636163,0.9633225203
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.7546752986,0.7507699514
blue,482.0,0.8022347929,0.8001386268
green,561.0,0.8703750973,0.8687329369
pan,589.0,0.8822817492,0.8823119683
red,655.0,0.9134218192,0.9135041112
nir,865.0,0.9700665166,0.9561069778
cirrus,1373.0,0.8301133024,0.8292081089
swir1,1609.0,0.963379548,0.9622189033
swir2,2200.0,0.6219484957,0.6212281058
