Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.122757
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Name,Phyllo_Kaolinite_KGa-1wxyl_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7379861916,0.7256921085
R1,436.0,0.744571285,0.7347532853
L6,482.0,0.7965643193,0.8000814443
L5,535.0,0.8604461433,0.8521560964
L4,601.0,0.8924223249,0.8916127508
L3,673.0,0.9197469789,0.9204367194
L1,739.0,0.9146240557,0.9234682309
L2,753.0,0.9444123766,0.9442390803
R2,754.0,0.9445367847,0.9444859368
R3,803.0,0.956589393,0.9492298082
R4,864.0,0.9716313536,0.9564602847
R5,904.0,0.9571691453,0.9561207647
R6,934.0,0.9558508569,0.9556603549
R7,1009.0,0.9648387517,0.9640949767
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7524290953,0.7418434149
p5,670.0,0.9178993941,0.9193956935
p6,800.0,0.9552410532,0.9491531506
p7,860.0,0.9816305279,0.9559693433
p8,900.0,0.9564825573,0.9558474536
p9,930.0,0.9567259186,0.9556249339
p11,965.0,0.9524156335,0.9501473045
p10,1000.0,0.9632636163,0.9633225203
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.7546752986,0.7507699514
blue,482.0,0.8022347929,0.8001386268
green,561.0,0.8703750973,0.8687329369
pan,589.0,0.8822817492,0.8823119683
red,655.0,0.9134218192,0.9135041112
nir,865.0,0.9700665166,0.9561069778
cirrus,1373.0,0.8301133024,0.8292081089
swir1,1609.0,0.963379548,0.9622189033
swir2,2200.0,0.6219484957,0.6212281058
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.7649272246,0.7653921225
bayer_blue,495.0,0.8098575362,0.8107353435
filter1_525nm_34mm,527.0,0.8431380089,0.8456306634
bayer_green,554.0,0.8604296824,0.8606924957
bayer_red,640.0,0.9035456664,0.9053852028
filter4_675nm_34mm,676.0,0.9213976663,0.9215839068
filter3_750nm_34mm,751.0,0.9431684425,0.9428754815
filter3_800nm_100mm,805.0,0.9560526233,0.949037629
filter5_865nm_34mm,867.0,0.9571843551,0.955600637
filter4_905nm_100mm,908.0,0.9582064841,0.9555828849
filter5_935nm_100mm,937.0,0.9496805915,0.9526190904
filter6_1035nm_34mm,1012.0,0.961495247,0.9636915802
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.7553432463,0.7450432464
L0B,482.0,0.7928023654,0.7891980844
L5,528.0,0.8468839526,0.844688996
L0G,544.0,0.8517782734,0.8508326561
L4,605.0,0.8929652526,0.8913795495
L0R,630.0,0.8992108082,0.9006008637
L3,677.0,0.9209449532,0.9199558878
L2,754.0,0.9434802895,0.9430844131
L1,800.0,0.9548386842,0.9473504907
R2,866.0,0.9650832465,0.9554366851
R3,910.0,0.9586908457,0.9553056029
R4,939.0,0.9481398936,0.9503952455
R5,978.0,0.9567082573,0.9535750892
R6,1022.0,0.9597809251,0.9628470171
