Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:53.656067
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Augite_PYX016_En48.6_Fs2.5_Wo48.9_45-90microns_HOSERLab
Sample Name,Pyx_Augite_PYX016_En48.6_Fs2.5_Wo48.9_45-90microns_HOSERLab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4555436779,0.4543914356
R1,436.0,0.4568063298,0.4558473093
L6,482.0,0.4974128797,0.4974794002
L5,535.0,0.5397484847,0.5397959456
L4,601.0,0.5539771814,0.5539732144
L3,673.0,0.5424038272,0.5423747771
L1,739.0,0.5130964064,0.5020129502
L2,753.0,0.5141886598,0.5141479893
R2,754.0,0.5138019508,0.5137594169
R3,803.0,0.4997533304,0.499738431
R4,864.0,0.4932972208,0.493300932
R5,904.0,0.4638141289,0.4635285688
R6,934.0,0.4221275969,0.4219286392
R7,1009.0,0.3093935247,0.3085450913
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.4592884809,0.4583643328
p5,670.0,0.5430475345,0.5430063228
p6,800.0,0.5001638025,0.5001354743
p7,860.0,0.4943096882,0.4943033026
p8,900.0,0.4673046971,0.4668319553
p9,930.0,0.426470215,0.426020631
p11,965.0,0.3671958446,0.3664256903
p10,1000.0,0.3130554229,0.3124716008
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.4598054612,0.4595972849
blue,482.0,0.4969034033,0.4972560453
green,561.0,0.5482168752,0.5482728021
pan,589.0,0.5457551581,0.5459588857
red,655.0,0.5467495087,0.5466886425
nir,865.0,0.4928670679,0.4928274826
cirrus,1373.0,0.5640826214,0.5640942428
swir1,1609.0,0.6066717305,0.6067601989
swir2,2200.0,0.4740849656,0.4723700462
