Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.948076
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Name,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
300.0,0.038433
305.0,0.039469
310.0,0.041604
315.0,0.041009
320.0,0.044791
325.0,0.047009
330.0,0.048695
335.0,0.050413
340.0,0.052425
345.0,0.053157
350.0,0.05394
355.0,0.054993
360.0,0.056324
365.0,0.057179
370.0,0.057896
375.0,0.058435
380.0,0.058985
385.0,0.059506
390.0,0.060328
395.0,0.061376
400.0,0.062294
405.0,0.062956
410.0,0.064266
415.0,0.06565
420.0,0.066963
425.0,0.068405
430.0,0.07023
435.0,0.071475
440.0,0.071762
445.0,0.072858
450.0,0.074169
455.0,0.07587
460.0,0.07756
465.0,0.079536
470.0,0.081428
475.0,0.083788
480.0,0.086398
485.0,0.088602
490.0,0.090298
495.0,0.093185
500.0,0.096354
505.0,0.099101
510.0,0.101595
515.0,0.103557
520.0,0.105329
525.0,0.107154
530.0,0.10842
535.0,0.109377
540.0,0.110267
545.0,0.110725
550.0,0.11046
555.0,0.110193
560.0,0.109629
565.0,0.10868
570.0,0.107693
575.0,0.106079
580.0,0.104976
585.0,0.10329
590.0,0.101692
595.0,0.099977
600.0,0.098119
605.0,0.0965
610.0,0.095042
615.0,0.093354
620.0,0.091709
625.0,0.090088
630.0,0.088564
635.0,0.086947
640.0,0.08545
645.0,0.083824
650.0,0.082244
655.0,0.080669
660.0,0.079119
665.0,0.077635
670.0,0.076036
675.0,0.074634
680.0,0.073129
685.0,0.071903
690.0,0.070821
695.0,0.069603
700.0,0.068342
705.0,0.067223
710.0,0.066193
715.0,0.065233
720.0,0.064286
725.0,0.063538
730.0,0.062768
735.0,0.06202
740.0,0.061197
745.0,0.060548
750.0,0.059956
755.0,0.059347
760.0,0.058826
765.0,0.05846
770.0,0.058109
775.0,0.057419
780.0,0.057157
785.0,0.056809
790.0,0.056769
795.0,0.05664
800.0,0.056272
805.0,0.056172
810.0,0.056278
815.0,0.057085
820.0,0.056778
825.0,0.057158
830.0,0.056788
835.0,0.057898
840.0,0.057744
845.0,0.058645
850.0,0.059518
855.0,0.060205
860.0,0.05992
865.0,0.061342
870.0,0.06069
875.0,0.060937
880.0,0.060933
885.0,0.061148
890.0,0.061554
895.0,0.061403
900.0,0.061716
905.0,0.061335
910.0,0.061747
915.0,0.062092
920.0,0.06163
925.0,0.061322
930.0,0.061315
935.0,0.060726
940.0,0.06028
945.0,0.060158
950.0,0.059718
955.0,0.05974
960.0,0.059622
965.0,0.059644
970.0,0.059342
975.0,0.059591
980.0,0.059515
985.0,0.059539
990.0,0.059814
995.0,0.059404
1000.0,0.05964
1005.0,0.059661
1010.0,0.060262
1015.0,0.060262
1020.0,0.06032
1025.0,0.060281
1030.0,0.060662
1035.0,0.060844
1040.0,0.060961
1045.0,0.061316
1050.0,0.061169
1055.0,0.061278
1060.0,0.061608
1065.0,0.061371
1070.0,0.061412
1075.0,0.061473
1080.0,0.061524
1085.0,0.06168
1090.0,0.061424
1095.0,0.061527
1100.0,0.061537
1105.0,0.061201
1110.0,0.061333
1115.0,0.061352
1120.0,0.061255
1125.0,0.061357
1130.0,0.061382
1135.0,0.061272
1140.0,0.061179
1145.0,0.061517
1150.0,0.061471
1155.0,0.06122
1160.0,0.061584
1165.0,0.061733
1170.0,0.061794
1175.0,0.062046
1180.0,0.061921
1185.0,0.062018
1190.0,0.062485
1195.0,0.062371
1200.0,0.063109
1205.0,0.063393
1210.0,0.063513
1215.0,0.064167
1220.0,0.064325
1225.0,0.064626
1230.0,0.065068
1235.0,0.065221
1240.0,0.065744
1245.0,0.066122
1250.0,0.066648
1255.0,0.067006
1260.0,0.067736
1265.0,0.068634
1270.0,0.069139
1275.0,0.069426
1280.0,0.070284
1285.0,0.070686
1290.0,0.071263
1295.0,0.07204
1300.0,0.072857
1305.0,0.073686
1310.0,0.074062
1315.0,0.075175
1320.0,0.075977
1325.0,0.07659
1330.0,0.077291
1335.0,0.078197
1340.0,0.078951
1345.0,0.079997
1350.0,0.08098
1355.0,0.082252
1360.0,0.082579
1365.0,0.083216
1370.0,0.083876
1375.0,0.085465
1380.0,0.086308
1385.0,0.087557
1390.0,0.087916
1395.0,0.089117
1400.0,0.090169
1405.0,0.09127
1410.0,0.092198
1415.0,0.093103
1420.0,0.094171
1425.0,0.09483
1430.0,0.095862
1435.0,0.097117
1440.0,0.097727
1445.0,0.098848
1450.0,0.100134
1455.0,0.100981
1460.0,0.101883
1465.0,0.103297
1470.0,0.104617
1475.0,0.105323
1480.0,0.10664
1485.0,0.107427
1490.0,0.108645
1495.0,0.109483
1500.0,0.110814
1505.0,0.112175
1510.0,0.11333
1515.0,0.11418
1520.0,0.115729
1525.0,0.116615
1530.0,0.118384
1535.0,0.11974
1540.0,0.120756
