Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:57.728452
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Anhydrite_GDS42_USGS
Sample Name,Sulfate_Anhydrite_GDS42_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.831669539,0.8235103953
R1,436.0,0.8323576079,0.8243909133
L6,482.0,0.8349833672,0.8384802483
L5,535.0,0.8539115455,0.8456289305
L4,601.0,0.8446350415,0.8438501953
L3,673.0,0.8576244352,0.8582623684
L1,739.0,0.8737116644,0.8795255427
L2,753.0,0.8927237014,0.8925897864
R2,754.0,0.8930751864,0.8930581636
R3,803.0,0.9107326134,0.9037035309
R4,864.0,0.9224190721,0.9079869736
R5,904.0,0.9104977151,0.9094506369
R6,934.0,0.9073389078,0.9071952024
R7,1009.0,0.9056933884,0.9049102129
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.8354124194,0.8255722674
p5,670.0,0.8559752557,0.8573630644
p6,800.0,0.9094349756,0.9036147498
p7,860.0,0.9331444343,0.9087267845
p8,900.0,0.9096585139,0.9090156315
p9,930.0,0.908355034,0.9073429
p11,965.0,0.9078867663,0.9056071088
p10,1000.0,0.9051782835,0.9051593656
