Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:57.404487
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Ferrihydrite_GDS75_USGS
Sample Name,Sulfate_Ferrihydrite_GDS75_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0160303748,0.015832074
R1,436.0,0.0160720142,0.0158795867
L6,482.0,0.0184286942,0.018521303
L5,535.0,0.0266267806,0.0263877521
L4,601.0,0.0574398614,0.0574250371
L3,673.0,0.112829071,0.1129974427
L1,739.0,0.1219668255,0.1367325895
L2,753.0,0.1796096893,0.1796362079
R2,754.0,0.1801520168,0.1802041967
R3,803.0,0.1935101122,0.1920126765
R4,864.0,0.1879646134,0.1849969937
R5,904.0,0.1795782907,0.1793314018
R6,934.0,0.178014491,0.1779847517
R7,1009.0,0.1863746828,0.1864302037
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0161970884,0.0159623949
p5,670.0,0.110562766,0.1108558259
p6,800.0,0.1932153359,0.191975699
p7,860.0,0.1905596939,0.1855400528
p8,900.0,0.1800016768,0.1798163847
p9,930.0,0.1781570399,0.1779590283
p11,965.0,0.1798912171,0.1794944822
p10,1000.0,0.184672568,0.1847571826
