Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:55.298434
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Gypsum_HS333.3B_USGS
Sample Name,Sulfate_Gypsum_HS333.3B_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.9066002564,0.8981483702
R1,436.0,0.9067932485,0.8984857829
L6,482.0,0.9019538702,0.9057410681
L5,535.0,0.9244916495,0.9155219993
L4,601.0,0.9237063659,0.9228446359
L3,673.0,0.925518411,0.9261688826
L1,739.0,0.9228410863,0.9210185594
L2,753.0,0.92914262,0.9289421138
R2,754.0,0.928991648,0.9289082412
R3,803.0,0.9387283089,0.9315101249
R4,864.0,0.9407719974,0.9260453824
R5,904.0,0.9194472453,0.9183387354
R6,934.0,0.9118026532,0.9115857835
R7,1009.0,0.8691371684,0.8689350256
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.909129855,0.8987615005
p5,670.0,0.9246733379,0.9261262492
p6,800.0,0.9366454907,0.9306912471
p7,860.0,0.9527095591,0.9277376304
p8,900.0,0.9203617044,0.9195919011
p9,930.0,0.9128997169,0.9117769765
p11,965.0,0.8873536858,0.884706461
p10,1000.0,0.8641801908,0.8643149066
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.90326236,0.8988899755
blue,482.0,0.9088556243,0.9060350757
green,561.0,0.9210973579,0.9192136709
pan,589.0,0.9225596636,0.9209677702
red,655.0,0.9255294298,0.9255152291
nir,865.0,0.9404931217,0.9269112966
cirrus,1373.0,0.6686588104,0.6679832071
swir1,1609.0,0.6525906299,0.6539196341
swir2,2200.0,0.3111529925,0.3099793822
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.9055812999,0.9012835929
bayer_blue,495.0,0.9079881719,0.9077202934
filter1_525nm_34mm,527.0,0.9116055923,0.9135881639
bayer_green,554.0,0.9176257806,0.9167023185
bayer_red,640.0,0.9237596171,0.9248370084
filter4_675nm_34mm,676.0,0.9259724639,0.9261187402
filter3_750nm_34mm,751.0,0.9293913003,0.9289534639
filter3_800nm_100mm,805.0,0.9391145002,0.9320631267
filter5_865nm_34mm,867.0,0.9273652609,0.9253567405
filter4_905nm_100mm,908.0,0.92027703,0.917026518
filter5_935nm_100mm,937.0,0.9083981096,0.9102389067
filter6_1035nm_34mm,1012.0,0.8745657455,0.8757468556
