Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:55.298434
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Gypsum_HS333.3B_USGS
Sample Name,Sulfate_Gypsum_HS333.3B_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.9066002564,0.8981483702
R1,436.0,0.9067932485,0.8984857829
L6,482.0,0.9019538702,0.9057410681
L5,535.0,0.9244916495,0.9155219993
L4,601.0,0.9237063659,0.9228446359
L3,673.0,0.925518411,0.9261688826
L1,739.0,0.9228410863,0.9210185594
L2,753.0,0.92914262,0.9289421138
R2,754.0,0.928991648,0.9289082412
R3,803.0,0.9387283089,0.9315101249
R4,864.0,0.9407719974,0.9260453824
R5,904.0,0.9194472453,0.9183387354
R6,934.0,0.9118026532,0.9115857835
R7,1009.0,0.8691371684,0.8689350256
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.909129855,0.8987615005
p5,670.0,0.9246733379,0.9261262492
p6,800.0,0.9366454907,0.9306912471
p7,860.0,0.9527095591,0.9277376304
p8,900.0,0.9203617044,0.9195919011
p9,930.0,0.9128997169,0.9117769765
p11,965.0,0.8873536858,0.884706461
p10,1000.0,0.8641801908,0.8643149066
