Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:57.094329
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Hexahydrite_SPT142_HOSERLab
Sample Name,Sulfate_Hexahydrite_SPT142_HOSERLab
Sample Type,
Viewing Geometry,
Wavelength,Response
350.0,0.655726824
351.0,0.655953849
352.0,0.656642436
353.0,0.657370311
354.0,0.655910302
355.0,0.656825973
356.0,0.658256753
357.0,0.658654238
358.0,0.660436353
359.0,0.661993515
360.0,0.662949479
361.0,0.664072472
362.0,0.665213629
363.0,0.66631544
364.0,0.667151235
365.0,0.668434039
366.0,0.669669213
367.0,0.67040827
368.0,0.672004481
369.0,0.673379586
370.0,0.674304605
371.0,0.675688939
372.0,0.67687033
373.0,0.678032728
374.0,0.679910103
375.0,0.680805834
376.0,0.68163879
377.0,0.68321737
378.0,0.684153039
379.0,0.685524475
380.0,0.68750977
381.0,0.687746143
382.0,0.68906847
383.0,0.690956909
384.0,0.692122384
385.0,0.693378621
386.0,0.694809342
387.0,0.696537911
388.0,0.697991234
389.0,0.699548396
390.0,0.70126519
391.0,0.702765137
392.0,0.704419747
393.0,0.706091042
394.0,0.707453425
395.0,0.709099633
396.0,0.710712175
397.0,0.712106982
398.0,0.714056008
399.0,0.715881137
400.0,0.71750569
401.0,0.719214971
402.0,0.720923541
403.0,0.72259028
404.0,0.724216549
405.0,0.72577442
406.0,0.727215437
407.0,0.728538415
408.0,0.729846541
409.0,0.731275902
410.0,0.7328191
411.0,0.734293309
412.0,0.735604335
413.0,0.736858028
414.0,0.738295968
415.0,0.739379615
416.0,0.740349779
417.0,0.741313257
418.0,0.742362587
419.0,0.743297132
420.0,0.744102456
421.0,0.744693832
422.0,0.74544064
423.0,0.746208808
424.0,0.746804088
425.0,0.747447886
426.0,0.748081448
427.0,0.748706313
428.0,0.749101905
429.0,0.749572639
430.0,0.750084435
431.0,0.750372993
432.0,0.750534697
433.0,0.750708885
434.0,0.751088383
435.0,0.751541722
436.0,0.752094935
437.0,0.752788138
438.0,0.753518675
439.0,0.754366008
440.0,0.755308541
441.0,0.756378046
442.0,0.757481455
443.0,0.758573917
444.0,0.759577156
445.0,0.760680564
446.0,0.761797285
447.0,0.762909687
448.0,0.764050312
449.0,0.765180464
450.0,0.766318604
451.0,0.767503663
452.0,0.768603226
453.0,0.769679654
454.0,0.770775016
455.0,0.771854284
456.0,0.772928405
457.0,0.774010927
458.0,0.774969317
459.0,0.775927884
460.0,0.776874855
461.0,0.777787568
462.0,0.778672472
463.0,0.77952087
464.0,0.780314124
465.0,0.781150452
466.0,0.781929624
467.0,0.782626554
468.0,0.78333301
469.0,0.784056152
470.0,0.784791008
471.0,0.785604497
472.0,0.786256164
473.0,0.786881857
474.0,0.787611625
475.0,0.788287077
476.0,0.788943892
477.0,0.7895813
478.0,0.790204094
479.0,0.790853157
480.0,0.791518729
481.0,0.792239503
482.0,0.792865847
483.0,0.793492191
484.0,0.794163738
485.0,0.794813867
486.0,0.795441571
487.0,0.796042887
488.0,0.796700945
489.0,0.797327229
490.0,0.797947419
491.0,0.798574473
492.0,0.799191291
493.0,0.799813138
494.0,0.800455871
495.0,0.801060204
496.0,0.801648266
497.0,0.802218224
498.0,0.802825338
499.0,0.803463219
500.0,0.80411323
501.0,0.80467869
502.0,0.805240364
503.0,0.8057863
504.0,0.806335371
505.0,0.806912606
506.0,0.807498716
507.0,0.808079915
508.0,0.808629992
509.0,0.809188471
510.0,0.809751624
511.0,0.810366134
512.0,0.810955321
513.0,0.811546756
514.0,0.812133517
515.0,0.812692173
516.0,0.813288223
517.0,0.81390723
518.0,0.814537952
519.0,0.815129446
520.0,0.81569538
521.0,0.816265574
522.0,0.816900261
523.0,0.817514061
524.0,0.818069877
525.0,0.818599246
526.0,0.819152459
527.0,0.819719044
528.0,0.820284623
529.0,0.820809317
530.0,0.821327621
531.0,0.821888053
532.0,0.822468483
533.0,0.823038263
534.0,0.823582423
535.0,0.824117827
536.0,0.824637729
537.0,0.825160648
538.0,0.825678538
539.0,0.826232994
540.0,0.826788396
541.0,0.827350129
542.0,0.827872516
543.0,0.828386028
544.0,0.82887824
545.0,0.829405537
546.0,0.829917984
547.0,0.830430609
548.0,0.830919152
549.0,0.831437279
550.0,0.831938484
551.0,0.832440162
552.0,0.832944681
553.0,0.833457601
554.0,0.83397484
555.0,0.834508173
556.0,0.835071445
557.0,0.83564223
558.0,0.836126277
559.0,0.836565593
560.0,0.836994437
561.0,0.837444995
562.0,0.837876797
563.0,0.838348832
564.0,0.838865953
