Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.092996
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Jarosite_Natro9_McCollom_Ehlmann
Sample Name,Sulfate_Jarosite_Natro9_McCollom_Ehlmann
Sample Type,
Viewing Geometry,
Wavelength,Response
350.0,0.0543
351.0,0.0659
352.0,0.0731
353.0,0.0603
354.0,0.0514
355.0,0.0605
356.0,0.0724
357.0,0.0705
358.0,0.0796
359.0,0.0789
360.0,0.0691
361.0,0.0652
362.0,0.0632
363.0,0.0634
364.0,0.0658
365.0,0.0702
366.0,0.0641
367.0,0.0623
368.0,0.074
369.0,0.0798
370.0,0.0781
371.0,0.0685
372.0,0.0547
373.0,0.0575
374.0,0.0677
375.0,0.0733
376.0,0.0649
377.0,0.0633
378.0,0.0652
379.0,0.0667
380.0,0.0702
381.0,0.0683
382.0,0.0653
383.0,0.0667
384.0,0.0686
385.0,0.0694
386.0,0.0697
387.0,0.0708
388.0,0.0697
389.0,0.0692
390.0,0.0692
391.0,0.0646
392.0,0.0645
393.0,0.0678
394.0,0.0712
395.0,0.0693
396.0,0.0703
397.0,0.0732
398.0,0.0738
399.0,0.0727
400.0,0.0711
401.0,0.0709
402.0,0.0734
403.0,0.0726
404.0,0.0711
405.0,0.0716
406.0,0.0746
407.0,0.0749
408.0,0.0747
409.0,0.0771
410.0,0.0751
411.0,0.0746
412.0,0.076
413.0,0.0756
414.0,0.0752
415.0,0.0762
416.0,0.0777
417.0,0.0757
418.0,0.0735
419.0,0.0728
420.0,0.0745
421.0,0.0778
422.0,0.0784
423.0,0.0764
424.0,0.0755
425.0,0.074
426.0,0.0729
427.0,0.0722
428.0,0.07
429.0,0.0713
430.0,0.0742
431.0,0.0755
432.0,0.074
433.0,0.0724
434.0,0.0717
435.0,0.0717
436.0,0.072
437.0,0.0714
438.0,0.0701
439.0,0.0711
440.0,0.0713
441.0,0.0711
442.0,0.0713
443.0,0.0719
444.0,0.0734
445.0,0.0753
446.0,0.0765
447.0,0.0773
448.0,0.0773
449.0,0.0766
450.0,0.0761
451.0,0.0772
452.0,0.0783
453.0,0.0779
454.0,0.0792
455.0,0.0807
456.0,0.082
457.0,0.0836
458.0,0.0838
459.0,0.0839
460.0,0.085
461.0,0.0868
462.0,0.0873
463.0,0.0874
464.0,0.0883
465.0,0.0883
466.0,0.0887
467.0,0.0898
468.0,0.0899
469.0,0.0901
470.0,0.0911
471.0,0.0926
472.0,0.0924
473.0,0.0931
474.0,0.0944
475.0,0.0949
476.0,0.0951
477.0,0.0954
478.0,0.096
479.0,0.0966
480.0,0.0983
481.0,0.0998
482.0,0.1001
483.0,0.1004
484.0,0.1016
485.0,0.1031
486.0,0.1034
487.0,0.1042
488.0,0.1051
489.0,0.1056
490.0,0.1064
491.0,0.1072
492.0,0.108
493.0,0.1092
494.0,0.1099
495.0,0.1108
496.0,0.1121
497.0,0.1142
498.0,0.115
499.0,0.1155
500.0,0.1169
501.0,0.118
