Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:55.409917
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2688.0
Minimum Reflectance,301.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Schwertmannite_BZ93-1_USGS
Sample Name,Sulfate_Schwertmannite_BZ93-1_USGS
Sample Type,
Viewing Geometry,
Wavelength,Response
301.1,0.00793
305.1,0.006952
309.1,0.006757
313.1,0.007376
317.1,0.007251
321.1,0.007988
325.1,0.007874
329.1,0.007127
333.1,0.007906
337.1,0.007674
341.1,0.007538
345.1,0.007439
349.1,0.007336
353.1,0.007754
357.1,0.007511
360.6,0.008409
363.6,0.007647
366.6,0.007882
369.6,0.008498
372.6,0.008185
375.6,0.008311
378.6,0.008435
381.1,0.008854
383.1,0.008513
385.1,0.009194
387.1,0.008913
389.1,0.008985
391.1,0.008989
393.1,0.009785
395.1,0.009559
397.1,0.009197
399.1,0.009826
401.1,0.009642
403.1,0.009869
405.1,0.010303
407.1,0.010046
409.1,0.010735
411.1,0.010501
412.8,0.011513
415.8,0.011008
418.8,0.011402
421.8,0.011843
424.8,0.012649
427.8,0.012842
430.8,0.013627
433.8,0.014106
436.8,0.0145
439.8,0.015614
442.8,0.016106
445.8,0.016475
448.8,0.017288
451.3,0.018137
453.3,0.018021
455.3,0.01915
457.3,0.019776
459.3,0.018689
461.3,0.01945
463.3,0.020359
465.3,0.02033
467.3,0.021073
469.3,0.021037
471.3,0.022534
473.3,0.021709
475.3,0.022529
477.3,0.022597
479.3,0.022637
481.3,0.023518
483.3,0.023438
485.3,0.0248
487.3,0.024634
489.3,0.025538
491.3,0.025882
493.3,0.027184
495.3,0.028206
497.3,0.028602
499.3,0.029094
501.3,0.030802
503.3,0.030747
505.3,0.03198
507.3,0.033016
509.3,0.034814
511.3,0.035333
513.3,0.036918
515.3,0.038544
517.3,0.039026
519.3,0.041748
521.3,0.04269
523.3,0.044233
525.3,0.045886
527.3,0.047751
529.3,0.049371
531.3,0.051696
533.3,0.053301
535.3,0.054905
537.3,0.05702
539.3,0.059686
541.3,0.061564
543.3,0.063065
545.3,0.067002
547.3,0.068492
549.3,0.071282
551.3,0.072885
553.3,0.075592
555.3,0.077538
557.3,0.081522
559.3,0.082679
561.3,0.084608
563.3,0.088129
565.3,0.090182
567.3,0.092975
569.3,0.09605
571.3,0.09887
573.3,0.102024
575.3,0.105356
577.3,0.108446
579.3,0.111653
581.3,0.114445
583.3,0.117368
585.3,0.120555
587.3,0.123314
589.3,0.126548
591.3,0.130059
593.3,0.133453
595.3,0.136584
597.3,0.139742
599.3,0.142748
601.1,0.145643
602.7,0.148798
604.3,0.151061
605.9,0.153037
