Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:59.526580
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2505.0
Minimum Reflectance,405.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Chloride_Antarcticite_Crowley
Sample Name,Chloride_Antarcticite_Crowley
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7453562844,0.740708186
R1,436.0,0.7543495226,0.7522676851
L6,482.0,0.7677745757,0.7677784189
L5,535.0,0.768771567,0.7687928171
L4,601.0,0.7630729117,0.7630814187
L3,673.0,0.7670466777,0.7670436934
L1,739.0,0.7653904582,0.7642287052
L2,753.0,0.7662067345,0.7662029102
R2,754.0,0.7661726386,0.7661691329
R3,803.0,0.7626865725,0.7630906118
R4,864.0,0.7753809817,0.7635632586
R5,904.0,0.7677782566,0.7682783923
R6,934.0,0.7701170184,0.7693113963
R7,1009.0,0.7412763306,0.7404230351
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7623258186,0.7615930959
p5,670.0,0.7670399789,0.7670405587
p6,800.0,0.7632855327,0.7633923335
p7,860.0,0.7804960657,0.7631356601
p8,900.0,0.7671553911,0.7675491029
p9,930.0,0.7700155026,0.7691428765
p11,965.0,0.7570825423,0.7560631479
p10,1000.0,0.7380359812,0.7370969245
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.766720725,0.766680108
blue,482.0,0.7672335225,0.7672378086
green,561.0,0.7660769936,0.7660615271
pan,589.0,0.7660475457,0.7660587729
red,655.0,0.7667113541,0.7667264389
nir,865.0,0.7728778651,0.7632803754
cirrus,1373.0,0.5770709717,0.5771725047
swir1,1609.0,0.5564202632,0.5590725982
swir2,2200.0,0.2437774879,0.2430168937
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.7567987842,0.7514960211
bayer_blue,495.0,0.7670990907,0.7669687577
filter1_525nm_34mm,527.0,0.7665996704,0.7656986577
bayer_green,554.0,0.7663255236,0.7662693086
bayer_red,640.0,0.7660287954,0.7660789148
filter4_675nm_34mm,676.0,0.7670000709,0.766994898
filter3_750nm_34mm,751.0,0.76565726,0.7655982269
filter3_800nm_100mm,805.0,0.7618870327,0.7624703648
filter5_865nm_34mm,867.0,0.7656961304,0.7630751649
filter4_905nm_100mm,908.0,0.7690284553,0.7683582675
filter5_935nm_100mm,937.0,0.7681344537,0.7680785714
filter6_1035nm_34mm,1012.0,0.7423401898,0.7426001594
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.7650507309,0.7635979465
L0B,482.0,0.765976033,0.7649369825
L5,528.0,0.7674438826,0.7667919358
L0G,544.0,0.7657821013,0.7649900645
L4,605.0,0.7625412228,0.7619366268
L0R,630.0,0.7653682389,0.7648459802
L3,677.0,0.7660734406,0.7653642332
L2,754.0,0.7653147682,0.7649667186
L1,800.0,0.7618944163,0.7620323068
R2,866.0,0.7712512275,0.7628099009
R3,910.0,0.7687403439,0.7678776998
R4,939.0,0.7663642821,0.7663959403
R5,978.0,0.7462132814,0.744618039
R6,1022.0,0.7410382885,0.741972937
