Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:59.866140
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2505.0
Minimum Reflectance,405.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Chloride_Sinjarite_Crowley
Sample Name,Chloride_Sinjarite_Crowley
Sample Type,
Viewing Geometry,
Wavelength,Response
405.0,0.95
406.0,0.949
407.0,0.95
408.0,0.951
409.0,0.951
410.0,0.951
411.0,0.952
412.0,0.952
413.0,0.952
414.0,0.952
415.0,0.952
416.0,0.952
417.0,0.952
418.0,0.952
419.0,0.952
420.0,0.951
421.0,0.951
422.0,0.951
423.0,0.951
424.0,0.951
425.0,0.951
426.0,0.952
427.0,0.952
428.0,0.952
429.0,0.953
430.0,0.953
431.0,0.953
432.0,0.953
433.0,0.953
434.0,0.954
435.0,0.954
436.0,0.954
437.0,0.954
438.0,0.954
439.0,0.954
440.0,0.954
441.0,0.954
442.0,0.954
443.0,0.954
444.0,0.954
445.0,0.954
446.0,0.954
447.0,0.954
448.0,0.954
449.0,0.955
450.0,0.955
451.0,0.955
452.0,0.955
453.0,0.955
454.0,0.955
455.0,0.955
456.0,0.955
457.0,0.956
458.0,0.956
459.0,0.955
460.0,0.955
461.0,0.955
462.0,0.954
463.0,0.954
464.0,0.953
465.0,0.953
466.0,0.953
467.0,0.954
468.0,0.954
469.0,0.954
470.0,0.954
471.0,0.954
472.0,0.954
473.0,0.954
474.0,0.954
475.0,0.954
476.0,0.954
477.0,0.954
478.0,0.954
479.0,0.954
480.0,0.954
481.0,0.954
482.0,0.953
483.0,0.953
484.0,0.953
485.0,0.953
486.0,0.953
487.0,0.954
488.0,0.954
489.0,0.955
490.0,0.955
491.0,0.955
492.0,0.955
493.0,0.955
494.0,0.955
495.0,0.954
496.0,0.954
497.0,0.954
498.0,0.955
499.0,0.955
500.0,0.955
501.0,0.955
502.0,0.955
503.0,0.955
504.0,0.954
505.0,0.954
506.0,0.954
507.0,0.953
508.0,0.953
509.0,0.953
510.0,0.952
511.0,0.952
512.0,0.952
513.0,0.952
514.0,0.952
515.0,0.953
516.0,0.953
517.0,0.953
518.0,0.954
519.0,0.954
520.0,0.955
521.0,0.955
522.0,0.956
523.0,0.956
524.0,0.957
525.0,0.957
526.0,0.958
527.0,0.958
528.0,0.958
529.0,0.959
530.0,0.959
531.0,0.959
532.0,0.959
533.0,0.959
534.0,0.959
535.0,0.958
536.0,0.958
537.0,0.958
538.0,0.957
539.0,0.957
540.0,0.957
541.0,0.957
542.0,0.957
543.0,0.957
544.0,0.957
545.0,0.957
546.0,0.957
547.0,0.957
548.0,0.957
549.0,0.957
550.0,0.957
551.0,0.956
552.0,0.956
553.0,0.955
554.0,0.955
555.0,0.954
556.0,0.954
557.0,0.954
558.0,0.954
559.0,0.954
560.0,0.954
561.0,0.954
562.0,0.955
563.0,0.954
564.0,0.954
565.0,0.954
566.0,0.954
567.0,0.953
568.0,0.953
569.0,0.953
570.0,0.953
571.0,0.954
572.0,0.954
573.0,0.954
574.0,0.954
575.0,0.954
576.0,0.954
577.0,0.955
578.0,0.955
579.0,0.955
580.0,0.955
581.0,0.955
582.0,0.955
583.0,0.955
584.0,0.955
585.0,0.954
586.0,0.954
587.0,0.954
588.0,0.954
589.0,0.954
590.0,0.954
591.0,0.954
592.0,0.954
593.0,0.954
594.0,0.954
595.0,0.954
596.0,0.954
597.0,0.954
598.0,0.954
599.0,0.954
600.0,0.954
601.0,0.954
602.0,0.954
603.0,0.954
604.0,0.954
605.0,0.955
606.0,0.955
607.0,0.955
608.0,0.955
609.0,0.955
610.0,0.955
611.0,0.955
612.0,0.955
613.0,0.955
614.0,0.955
615.0,0.955
616.0,0.956
617.0,0.956
618.0,0.957
619.0,0.957
620.0,0.957
621.0,0.958
622.0,0.958
623.0,0.958
624.0,0.958
625.0,0.958
626.0,0.958
627.0,0.958
628.0,0.958
629.0,0.958
630.0,0.958
631.0,0.958
632.0,0.958
633.0,0.957
634.0,0.957
635.0,0.956
636.0,0.956
637.0,0.956
638.0,0.956
639.0,0.956
640.0,0.956
641.0,0.957
642.0,0.957
643.0,0.958
644.0,0.958
645.0,0.959
646.0,0.959
647.0,0.959
648.0,0.96
649.0,0.96
650.0,0.96
651.0,0.959
652.0,0.959
653.0,0.959
654.0,0.959
655.0,0.958
656.0,0.958
657.0,0.958
658.0,0.958
659.0,0.958
660.0,0.958
661.0,0.959
662.0,0.959
663.0,0.96
664.0,0.96
665.0,0.961
666.0,0.961
667.0,0.961
668.0,0.961
669.0,0.961
670.0,0.961
671.0,0.961
672.0,0.961
673.0,0.96
674.0,0.96
675.0,0.96
676.0,0.959
677.0,0.959
678.0,0.959
679.0,0.959
680.0,0.96
681.0,0.96
682.0,0.961
683.0,0.961
684.0,0.961
685.0,0.962
686.0,0.962
687.0,0.962
688.0,0.962
689.0,0.962
690.0,0.962
691.0,0.961
692.0,0.961
693.0,0.961
694.0,0.96
695.0,0.96
696.0,0.961
697.0,0.961
698.0,0.961
699.0,0.962
700.0,0.962
701.0,0.962
702.0,0.962
703.0,0.962
704.0,0.963
705.0,0.962
706.0,0.962
707.0,0.962
708.0,0.962
709.0,0.962
710.0,0.961
711.0,0.961
712.0,0.962
713.0,0.962
714.0,0.962
715.0,0.962
716.0,0.962
717.0,0.962
718.0,0.962
719.0,0.962
720.0,0.961
721.0,0.961
722.0,0.96
723.0,0.96
724.0,0.96
725.0,0.96
726.0,0.96
727.0,0.96
728.0,0.961
729.0,0.961
730.0,0.961
731.0,0.961
732.0,0.961
733.0,0.96
734.0,0.96
735.0,0.96
736.0,0.959
737.0,0.959
738.0,0.959
739.0,0.959
740.0,0.959
741.0,0.959
742.0,0.959
743.0,0.96
744.0,0.959
745.0,0.959
746.0,0.959
747.0,0.959
748.0,0.958
749.0,0.958
750.0,0.957
751.0,0.957
752.0,0.957
753.0,0.957
754.0,0.957
755.0,0.957
756.0,0.957
757.0,0.957
758.0,0.957
759.0,0.956
760.0,0.956
761.0,0.955
762.0,0.955
763.0,0.955
764.0,0.955
765.0,0.955
766.0,0.956
767.0,0.956
768.0,0.956
769.0,0.956
770.0,0.956
771.0,0.955
772.0,0.955
773.0,0.955
774.0,0.955
775.0,0.955
776.0,0.955
777.0,0.956
778.0,0.956
779.0,0.956
780.0,0.956
781.0,0.956
782.0,0.956
783.0,0.955
784.0,0.955
785.0,0.955
786.0,0.956
787.0,0.956
788.0,0.956
789.0,0.956
790.0,0.956
791.0,0.956
792.0,0.956
793.0,0.956
794.0,0.956
795.0,0.956
796.0,0.956
797.0,0.956
798.0,0.956
799.0,0.956
800.0,0.956
801.0,0.956
802.0,0.956
803.0,0.955
804.0,0.954
805.0,0.952
809.0,0.956
813.0,0.958
817.0,0.958
821.0,0.958
825.0,0.957
829.0,0.955
833.0,0.955
837.0,0.955
841.0,0.952
845.0,0.952
849.0,0.952
853.0,0.952
857.0,0.954
861.0,0.954
865.0,0.951
869.0,0.95
873.0,0.951
877.0,0.949
881.0,0.95
885.0,0.951
889.0,0.951
893.0,0.953
897.0,0.955
901.0,0.955
905.0,0.954
909.0,0.953
913.0,0.953
917.0,0.952
921.0,0.952
925.0,0.95
929.0,0.951
933.0,0.951
937.0,0.949
941.0,0.949
945.0,0.946
949.0,0.943
953.0,0.939
957.0,0.936
961.0,0.933
965.0,0.929
969.0,0.925
973.0,0.921
977.0,0.917
981.0,0.915
985.0,0.913
989.0,0.911
993.0,0.912
997.0,0.914
1001.0,0.918
1005.0,0.922
1009.0,0.924
1013.0,0.93
1017.0,0.935
1021.0,0.939
1025.0,0.943
1029.0,0.947
1033.0,0.95
1037.0,0.952
1041.0,0.951
1045.0,0.952
1049.0,0.952
1053.0,0.952
1057.0,0.955
1061.0,0.955
1065.0,0.956
1069.0,0.957
1073.0,0.956
1077.0,0.957
1081.0,0.958
1085.0,0.958
1089.0,0.956
1093.0,0.955
1097.0,0.954
1101.0,0.955
1105.0,0.955
1109.0,0.954
1113.0,0.953
1117.0,0.951
1121.0,0.948
1125.0,0.947
1129.0,0.945
1133.0,0.943
1137.0,0.941
1141.0,0.938
1145.0,0.934
1149.0,0.93
1153.0,0.925
1157.0,0.917
1161.0,0.907
1165.0,0.895
1169.0,0.884
1173.0,0.876
1177.0,0.87
1181.0,0.864
1185.0,0.859
1189.0,0.854
1193.0,0.849
1197.0,0.848
1201.0,0.854
1205.0,0.865
1209.0,0.874
1213.0,0.875
1217.0,0.875
1221.0,0.879
1225.0,0.89
1229.0,0.903
1233.0,0.914
1237.0,0.92
1241.0,0.925
1245.0,0.93
1249.0,0.933
1253.0,0.935
1257.0,0.935
1261.0,0.936
1265.0,0.936
1269.0,0.936
1273.0,0.933
1277.0,0.931
1281.0,0.931
1285.0,0.931
1289.0,0.929
1293.0,0.927
1297.0,0.926
1301.0,0.924
1305.0,0.922
1309.0,0.919
1313.0,0.914
1317.0,0.909
1321.0,0.902
1325.0,0.897
1329.0,0.89
1333.0,0.881
1337.0,0.872
1341.0,0.863
1345.0,0.854
1349.0,0.846
1353.0,0.838
1357.0,0.826
1361.0,0.817
1365.0,0.807
1369.0,0.797
1373.0,0.787
1377.0,0.772
1381.0,0.761
1385.0,0.756
1389.0,0.752
1393.0,0.748
1397.0,0.746
1401.0,0.74
1405.0,0.728
1409.0,0.714
1413.0,0.693
1417.0,0.667
1421.0,0.636
1425.0,0.601
1429.0,0.569
1433.0,0.547
1437.0,0.541
1441.0,0.545
1445.0,0.552
1449.0,0.558
1453.0,0.564
1457.0,0.568
1461.0,0.571
1465.0,0.574
1469.0,0.58
1473.0,0.588
1477.0,0.595
1481.0,0.603
1485.0,0.615
1489.0,0.627
1493.0,0.635
1497.0,0.636
1501.0,0.638
1505.0,0.652
