Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.288238
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Prehnite_LAZE03_RELAB
Sample Name,HydSil_Prehnite_LAZE03_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
395.1,0.68417
397.1,0.684409
399.1,0.684648
401.1,0.685462
403.1,0.686746
405.1,0.688043
407.1,0.689562
409.1,0.691081
411.1,0.692179
412.8,0.692819
415.8,0.693985
418.8,0.69525
421.8,0.697276
424.8,0.699809
427.8,0.701988
430.8,0.703735
433.8,0.704363
436.8,0.70626
439.8,0.709003
442.8,0.710448
445.8,0.711693
448.8,0.712643
451.3,0.71387
453.3,0.715174
455.3,0.716366
457.3,0.716922
459.3,0.717479
461.3,0.718282
463.3,0.719217
465.3,0.720108
467.3,0.720748
469.3,0.721389
471.3,0.721817
473.3,0.72213
475.3,0.722457
477.3,0.722857
479.3,0.723258
481.3,0.724025
483.3,0.72499
485.3,0.725806
487.3,0.725778
489.3,0.72575
491.3,0.726551
493.3,0.727799
495.3,0.728832
497.3,0.728651
499.3,0.72847
501.3,0.728863
503.3,0.729565
505.3,0.730169
507.3,0.730225
509.3,0.730281
511.3,0.730629
513.3,0.731135
515.3,0.731542
517.3,0.731392
519.3,0.731242
521.3,0.731673
523.3,0.732417
525.3,0.733079
527.3,0.733282
529.3,0.733485
531.3,0.733806
533.3,0.734191
535.3,0.73452
537.3,0.734534
539.3,0.734548
541.3,0.734915
543.3,0.735473
545.3,0.735911
547.3,0.735674
549.3,0.735436
551.3,0.735578
553.3,0.735925
555.3,0.736224
557.3,0.73625
559.3,0.736276
561.3,0.736444
563.3,0.736688
565.3,0.736864
567.3,0.736648
569.3,0.736432
571.3,0.736468
573.3,0.736639
575.3,0.736771
577.3,0.736677
579.3,0.736584
581.3,0.736416
583.3,0.736208
585.3,0.736025
587.3,0.73598
589.3,0.735936
591.3,0.735911
593.3,0.735898
595.3,0.735864
597.3,0.735719
599.3,0.735574
601.1,0.73534
602.7,0.735074
604.3,0.734808
605.9,0.734723
607.5,0.734779
609.1,0.734835
610.7,0.734889
612.3,0.734942
613.9,0.734995
615.5,0.73504
617.1,0.735068
618.7,0.735096
620.3,0.735113
621.9,0.73508
623.5,0.735047
625.1,0.735023
626.7,0.735131
628.3,0.735239
629.9,0.735347
631.7,0.735003
633.7,0.73459
635.7,0.734586
637.7,0.735341
639.7,0.736096
641.7,0.735159
643.7,0.733923
645.7,0.733232
647.7,0.73355
649.7,0.733869
651.7,0.734188
653.7,0.734508
655.7,0.734631
657.7,0.734392
659.7,0.734152
661.7,0.734058
663.7,0.733989
665.7,0.733956
667.7,0.73399
670.2,0.734008
673.2,0.7337
676.2,0.733336
679.2,0.732889
682.2,0.73269
685.2,0.732589
688.2,0.732608
691.2,0.73279
694.2,0.733219
697.2,0.733023
700.2,0.732632
702.0,0.732657
704.0,0.732686
706.0,0.732596
708.0,0.732387
710.0,0.732179
712.0,0.732012
714.0,0.731845
716.0,0.731849
718.0,0.732024
720.0,0.732199
722.0,0.732602
724.0,0.733005
726.0,0.733226
728.0,0.733264
730.0,0.733302
732.0,0.733273
734.0,0.733244
736.0,0.733375
738.0,0.733666
740.0,0.733956
742.0,0.733408
744.0,0.732861
746.0,0.732585
748.0,0.732582
750.5,0.732745
753.5,0.733748
756.5,0.734358
759.5,0.734573
762.5,0.733428
765.5,0.732429
768.5,0.733526
771.5,0.733977
774.5,0.73378
777.5,0.733681
781.0,0.733675
785.0,0.733915
789.0,0.735515
793.0,0.734446
797.0,0.733553
801.5,0.733671
806.5,0.733624
811.5,0.733597
816.5,0.73348
822.0,0.733884
828.0,0.735131
835.0,0.734902
843.0,0.734513
851.0,0.734221
859.0,0.734386
871.0,0.734835
883.0,0.734222
894.0,0.734609
904.0,0.73424
914.0,0.73507
924.0,0.735189
933.0,0.735458
941.0,0.735319
949.0,0.735455
957.0,0.735893
964.0,0.736281
970.0,0.73585
976.0,0.735936
982.0,0.736585
988.0,0.736555
994.0,0.736224
1000.0,0.735481
1006.0,0.735443
1012.0,0.735576
1018.0,0.735372
1023.5,0.736036
1028.5,0.736746
1033.5,0.737005
1038.5,0.736734
1043.5,0.737114
1048.5,0.737207
1053.5,0.737015
1058.5,0.737471
1063.5,0.737478
1068.5,0.737522
1073.5,0.737871
1078.5,0.738172
1083.5,0.738029
1088.5,0.738123
1093.5,0.737949
1098.5,0.738302
1103.5,0.738477
1108.5,0.738414
1113.5,0.738507
1118.5,0.738721
1123.5,0.738437
1128.5,0.738048
1133.5,0.738211
1138.5,0.7385
1143.5,0.738811
1148.5,0.738425
1153.5,0.73843
1158.5,0.738486
1163.5,0.738406
1168.5,0.738588
1173.5,0.738625
1178.5,0.738916
1183.5,0.739082
1188.5,0.739143
1193.5,0.739409
1198.5,0.739393
1203.5,0.739219
1208.5,0.739164
1213.5,0.73881
1218.5,0.739092
1223.5,0.739186
1228.5,0.739887
1233.5,0.740086
1238.5,0.740395
1243.5,0.740265
1248.5,0.740135
1253.5,0.740343
1258.5,0.740211
1263.5,0.739796
1268.5,0.739058
1273.5,0.738469
1278.5,0.737299
1283.5,0.735582
1288.5,0.734821
1293.5,0.73526
1298.5,0.735523
1303.5,0.735461
1308.5,0.735563
1313.5,0.736541
1318.5,0.736767
1323.5,0.736827
1328.5,0.736763
1333.5,0.736611
1338.5,0.736975
1343.5,0.737051
1348.5,0.736151
1353.5,0.736703
1358.5,0.736989
1363.5,0.735118
1368.5,0.734528
1373.5,0.734822
1378.5,0.736054
1383.5,0.733497
1388.5,0.733251
1393.5,0.735096
1398.5,0.734138
1403.5,0.732343
1408.5,0.732007
1413.5,0.73138
1418.5,0.73025
1423.5,0.729032
1428.5,0.727527
1433.5,0.724293
1438.5,0.723916
1443.5,0.725119
1448.5,0.723528
1453.5,0.720889
1458.5,0.71765
1463.5,0.712188
1468.5,0.701047
1473.5,0.673068
1478.5,0.649746
1483.5,0.655915
1488.5,0.687479
1493.5,0.710978
1498.5,0.720919
1503.5,0.725103
1508.5,0.726874
1513.5,0.728955
1518.5,0.731144
1523.5,0.732401
1528.5,0.732937
1534.0,0.734619
1540.0,0.733283
1546.0,0.733505
1552.0,0.735175
1558.0,0.735498
1564.0,0.735996
1570.5,0.736137
1577.5,0.736557
1584.5,0.736161
1591.5,0.737228
1598.5,0.735999
1605.5,0.735436
1612.5,0.736999
1619.5,0.736843
1626.5,0.73655
1633.5,0.736687
1640.5,0.737196
1647.5,0.737114
1654.5,0.737789
1661.5,0.736695
1668.5,0.736105
1676.0,0.736336
1684.0,0.736606
1692.0,0.736309
1700.0,0.736407
1708.0,0.736617
1716.0,0.736274
1724.0,0.735951
1732.0,0.735082
1740.0,0.734472
1748.0,0.73466
1756.0,0.734605
1764.0,0.735219
1772.0,0.735032
1780.0,0.735568
1788.0,0.735573
1796.0,0.735466
1805.0,0.73514
1815.0,0.734177
1825.0,0.732207
1835.0,0.731863
1845.0,0.728652
1855.0,0.729135
1865.0,0.728577
1875.0,0.720558
1885.0,0.719292
1895.0,0.718745
1905.0,0.712114
1915.0,0.709982
1925.0,0.70939
1935.0,0.709466
1945.0,0.71091
1955.0,0.713487
1965.0,0.716009
1975.0,0.717655
1985.0,0.718402
1995.0,0.718856
2005.0,0.719884
2015.0,0.721447
2025.0,0.72217
2035.0,0.723484
2045.0,0.725034
2055.0,0.725674
2065.0,0.725812
2075.0,0.726222
2085.0,0.726306
2095.0,0.725247
2105.0,0.722945
2115.0,0.721703
2125.0,0.721243
2135.0,0.720895
2145.0,0.719408
2155.0,0.717458
2165.0,0.715298
2175.0,0.711608
2185.0,0.708591
2195.0,0.704712
2205.0,0.692791
2215.0,0.665446
2225.0,0.634456
2235.0,0.608792
2245.0,0.62496
2255.0,0.650567
2265.0,0.656668
2275.0,0.638349
2285.0,0.617015
2295.0,0.621131
2305.0,0.64781
2315.0,0.651856
2325.0,0.565961
2335.0,0.458946
2345.0,0.427436
2355.0,0.396916
2365.0,0.409736
2375.0,0.469856
2386.0,0.474467
2400.0,0.507798
2418.0,0.561021
2440.0,0.606527
2466.0,0.583418
2496.0,0.572926
2528.0,0.523228
2560.0,0.525498
