Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.288238
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Prehnite_LAZE03_RELAB
Sample Name,HydSil_Prehnite_LAZE03_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7057161388,0.6950890705
R1,436.0,0.7107265098,0.702472289
L6,482.0,0.7213806264,0.7244302441
L5,535.0,0.7415082261,0.7343247484
L4,601.0,0.7359666503,0.7352739439
L3,673.0,0.7330649043,0.7335762946
L1,739.0,0.7339089509,0.7333010978
L2,753.0,0.7335656607,0.7334174388
R2,754.0,0.7334957568,0.7334420069
R3,803.0,0.7395195562,0.7338085196
R4,864.0,0.7462366116,0.7345636615
R5,904.0,0.7354346582,0.7346080498
R6,934.0,0.7354340391,0.7353263388
R7,1009.0,0.7367466579,0.7361251395
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7154942923,0.7065525708
p5,670.0,0.7325627096,0.7337079565
p6,800.0,0.7386421175,0.7339065141
p7,860.0,0.7542039505,0.7344763291
p8,900.0,0.7350904796,0.7345794734
p9,930.0,0.736057068,0.7352638723
p11,965.0,0.7377686465,0.7359401734
p10,1000.0,0.7359255014,0.7359050546
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.7135423584,0.7100492878
blue,482.0,0.726380887,0.7241986025
green,561.0,0.7374475719,0.7359337067
pan,589.0,0.7361212262,0.734620042
red,655.0,0.7342813253,0.7342566151
nir,865.0,0.7452528248,0.7345163671
cirrus,1373.0,0.7355800868,0.7349264823
swir1,1609.0,0.737416459,0.736561498
swir2,2200.0,0.6797153185,0.6784627187
