Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.787253
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Talc-GDS23_74-250um_USGS
Sample Name,HydSil_Talc-GDS23_74-250um_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4744590232,0.46616081
R1,436.0,0.4792083815,0.472501554
L6,482.0,0.5168166751,0.5190898172
L5,535.0,0.553410334,0.5480671682
L4,601.0,0.5572878153,0.5567603652
L3,673.0,0.5619198983,0.5623249705
L1,739.0,0.5564430246,0.557443153
L2,753.0,0.5636481451,0.5635263112
R2,754.0,0.5635485985,0.5634991833
R3,803.0,0.5625082678,0.5581480454
R4,864.0,0.5655330124,0.556710641
R5,904.0,0.5610572712,0.5605032366
R6,934.0,0.5632799353,0.5631102663
R7,1009.0,0.5750902288,0.574740526
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.4850052957,0.4778395315
p5,670.0,0.5612200236,0.5621141365
p6,800.0,0.5621605648,0.5585312364
p7,860.0,0.5709931933,0.5560855032
p8,900.0,0.5602749033,0.5599754845
p9,930.0,0.5635318271,0.5628511059
p11,965.0,0.5672042196,0.5659545566
p10,1000.0,0.5738721236,0.5739299972
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.488593652,0.4860217042
blue,482.0,0.5205354151,0.519152012
green,561.0,0.5544796095,0.5533846148
pan,589.0,0.5550324214,0.5543120506
red,655.0,0.5611208778,0.561132391
nir,865.0,0.5647340192,0.5566284663
cirrus,1373.0,0.6228852578,0.6221286899
swir1,1609.0,0.6627119571,0.6620561664
swir2,2200.0,0.4932486849,0.4871861239
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.4912498837,0.4889791245
bayer_blue,495.0,0.5233882851,0.5235423313
filter1_525nm_34mm,527.0,0.5426693922,0.5436846746
bayer_green,554.0,0.5491562964,0.5489362352
bayer_red,640.0,0.5582095063,0.5590033877
filter4_675nm_34mm,676.0,0.5623680452,0.5624635835
filter3_750nm_34mm,751.0,0.5633318213,0.5630923988
filter3_800nm_100mm,805.0,0.5616096682,0.5574045831
filter5_865nm_34mm,867.0,0.5577450339,0.5567083509
filter4_905nm_100mm,908.0,0.5632121098,0.5615475472
filter5_935nm_100mm,937.0,0.5592604181,0.5606526978
filter6_1035nm_34mm,1012.0,0.5748983247,0.5762158686
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.4886241055,0.4817079509
L0B,482.0,0.5131565032,0.5106481248
L5,528.0,0.5455533856,0.5441450991
L0G,544.0,0.5451389365,0.5442987877
L4,605.0,0.556599757,0.5555719168
L0R,630.0,0.5565479692,0.5570114426
L3,677.0,0.5618914617,0.5612587243
L2,754.0,0.5628866653,0.5626156581
L1,800.0,0.5618459995,0.5573792899
R2,866.0,0.5619912692,0.5563418215
R3,910.0,0.5633505677,0.5613321034
R4,939.0,0.5571765528,0.5583191048
R5,978.0,0.5719746888,0.5700057425
R6,1022.0,0.5741006389,0.5760871612
