Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:46.787253
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,HydSil_Talc-GDS23_74-250um_USGS
Sample Name,HydSil_Talc-GDS23_74-250um_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4744590232,0.46616081
R1,436.0,0.4792083815,0.472501554
L6,482.0,0.5168166751,0.5190898172
L5,535.0,0.553410334,0.5480671682
L4,601.0,0.5572878153,0.5567603652
L3,673.0,0.5619198983,0.5623249705
L1,739.0,0.5564430246,0.557443153
L2,753.0,0.5636481451,0.5635263112
R2,754.0,0.5635485985,0.5634991833
R3,803.0,0.5625082678,0.5581480454
R4,864.0,0.5655330124,0.556710641
R5,904.0,0.5610572712,0.5605032366
R6,934.0,0.5632799353,0.5631102663
R7,1009.0,0.5750902288,0.574740526
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.4850052957,0.4778395315
p5,670.0,0.5612200236,0.5621141365
p6,800.0,0.5621605648,0.5585312364
p7,860.0,0.5709931933,0.5560855032
p8,900.0,0.5602749033,0.5599754845
p9,930.0,0.5635318271,0.5628511059
p11,965.0,0.5672042196,0.5659545566
p10,1000.0,0.5738721236,0.5739299972
