Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:09:01.135534
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2685.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,OLV_Fo1_c1po58_RELAB
Sample Name,OLV_Fo1_c1po58_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
300.0,0.036882
305.0,0.036343
310.0,0.033733
315.0,0.033927
320.0,0.033899
325.0,0.034752
330.0,0.034672
335.0,0.035244
340.0,0.036774
345.0,0.038098
350.0,0.039819
355.0,0.042236
360.0,0.045444
365.0,0.049455
370.0,0.053776
375.0,0.059264
380.0,0.065352
385.0,0.072173
390.0,0.079629
395.0,0.087685
400.0,0.095667
405.0,0.101693
410.0,0.108966
415.0,0.117189
420.0,0.124677
425.0,0.131336
430.0,0.137601
435.0,0.143365
440.0,0.149519
445.0,0.154861
450.0,0.157824
455.0,0.159935
460.0,0.164037
465.0,0.169991
470.0,0.175688
475.0,0.18039
480.0,0.188945
485.0,0.196705
490.0,0.201638
495.0,0.204388
500.0,0.207578
505.0,0.214673
510.0,0.222534
515.0,0.229792
520.0,0.235346
525.0,0.240218
530.0,0.244312
535.0,0.248684
540.0,0.253612
545.0,0.258734
550.0,0.263627
555.0,0.266598
560.0,0.269617
565.0,0.272606
570.0,0.275128
575.0,0.277352
580.0,0.280327
585.0,0.281889
590.0,0.284124
595.0,0.285605
600.0,0.286427
605.0,0.287606
610.0,0.288402
615.0,0.28935
620.0,0.290779
625.0,0.292054
630.0,0.294103
635.0,0.296008
640.0,0.298438
645.0,0.30045
650.0,0.302602
655.0,0.304251
660.0,0.305301
665.0,0.307177
670.0,0.308275
675.0,0.3086
680.0,0.308161
685.0,0.308969
690.0,0.309001
695.0,0.309289
700.0,0.309295
705.0,0.310054
710.0,0.309404
715.0,0.309131
720.0,0.308721
725.0,0.308291
730.0,0.308515
735.0,0.308291
740.0,0.307682
745.0,0.307266
750.0,0.307148
755.0,0.305734
760.0,0.305757
765.0,0.304362
770.0,0.303122
775.0,0.301342
780.0,0.299562
785.0,0.298149
790.0,0.295741
795.0,0.293581
800.0,0.290953
805.0,0.288903
810.0,0.286636
815.0,0.28372
820.0,0.281209
825.0,0.278506
830.0,0.275605
835.0,0.27336
840.0,0.270599
845.0,0.267132
850.0,0.264174
855.0,0.262549
860.0,0.259624
865.0,0.256704
870.0,0.253548
875.0,0.251519
880.0,0.249367
885.0,0.248379
890.0,0.245034
895.0,0.242809
900.0,0.239565
905.0,0.238433
910.0,0.235381
915.0,0.233694
920.0,0.231155
925.0,0.22867
930.0,0.22628
935.0,0.225067
940.0,0.223079
945.0,0.220531
950.0,0.219091
955.0,0.216316
960.0,0.214331
965.0,0.213523
970.0,0.211033
975.0,0.209287
980.0,0.207102
985.0,0.205311
990.0,0.20363
995.0,0.201955
1000.0,0.20023
1005.0,0.199501
1010.0,0.19723
1015.0,0.195837
1020.0,0.194249
1025.0,0.192993
1030.0,0.192069
1035.0,0.190882
1040.0,0.189919
1045.0,0.189626
1050.0,0.188535
1055.0,0.187802
1060.0,0.18763
1065.0,0.187504
1070.0,0.187161
1075.0,0.187317
1080.0,0.187366
1085.0,0.18743
1090.0,0.187512
1095.0,0.188318
1100.0,0.189033
1105.0,0.189585
1110.0,0.190085
1115.0,0.191496
1120.0,0.192288
1125.0,0.193264
1130.0,0.194966
1135.0,0.19602
1140.0,0.197397
1145.0,0.19896
1150.0,0.200265
1155.0,0.201914
1160.0,0.203184
1165.0,0.204572
1170.0,0.20609
1175.0,0.207215
1180.0,0.208675
1185.0,0.209811
1190.0,0.210997
1195.0,0.211904
1200.0,0.212562
1205.0,0.212625
1210.0,0.213718
1215.0,0.214301
1220.0,0.214857
1225.0,0.215215
1230.0,0.215492
1235.0,0.215777
1240.0,0.216208
1245.0,0.216139
1250.0,0.216621
1255.0,0.216767
1260.0,0.217378
1265.0,0.217311
1270.0,0.217703
1275.0,0.217905
1280.0,0.218353
1285.0,0.218897
1290.0,0.219214
1295.0,0.219386
1300.0,0.219483
1305.0,0.22004
1310.0,0.220862
1315.0,0.221432
1320.0,0.222254
1325.0,0.222685
1330.0,0.223701
1335.0,0.224187
1340.0,0.225707
1345.0,0.226462
1350.0,0.227277
1355.0,0.228064
1360.0,0.23016
1365.0,0.231396
1370.0,0.233066
1375.0,0.234052
