Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:09:01.023121
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2750.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,OLV_Fo90_c1po50_RELAB
Sample Name,OLV_Fo90_c1po50_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6599816454,0.6590149204
R1,436.0,0.661209361,0.6604442418
L6,482.0,0.6953342726,0.6953942505
L5,535.0,0.7410077587,0.7410809578
L4,601.0,0.7524047902,0.7523896442
L3,673.0,0.7456569349,0.7456533537
L1,739.0,0.6957894695,0.6789554675
L2,753.0,0.701560266,0.7014561792
R2,754.0,0.7006129992,0.7005030099
R3,803.0,0.6542128735,0.6541252845
R4,864.0,0.614998181,0.6150191419
R5,904.0,0.5955032278,0.5953463101
R6,934.0,0.572595592,0.5724816488
R7,1009.0,0.4990095845,0.4983962299
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6638040755,0.6630803663
p5,670.0,0.7454432939,0.745441078
p6,800.0,0.6560782303,0.655930371
p7,860.0,0.6170123779,0.6170045137
p8,900.0,0.5975509738,0.5972842584
p9,930.0,0.5749127891,0.5746574152
p11,965.0,0.5384639395,0.5379616493
p10,1000.0,0.5017229771,0.5013123713
