Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:50.151748
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Goethite_ws222.8447_USGS
Sample Name,Oxide_Goethite_ws222.8447_USGS
Sample Type,
Viewing Geometry,
Wavelength,Response
221.1,0.012394
229.1,0.012101
236.1,0.013214
242.1,0.012856
248.1,0.012519
253.6,0.012054
258.6,0.012473
263.6,0.014122
268.6,0.012432
273.1,0.013044
277.1,0.013339
281.1,0.011573
285.1,0.014098
289.1,0.013888
293.1,0.014698
297.1,0.014904
301.1,0.015592
305.1,0.013693
309.1,0.016119
313.1,0.017235
317.1,0.015407
321.1,0.0166
325.1,0.015332
329.1,0.012627
333.1,0.014636
337.1,0.016972
341.1,0.014387
345.1,0.014353
349.1,0.015153
353.1,0.013866
357.1,0.015573
360.6,0.015385
363.6,0.015308
366.6,0.015952
369.6,0.017317
372.6,0.017152
375.6,0.014972
378.6,0.018346
381.1,0.015234
383.1,0.017436
385.1,0.017334
387.1,0.017762
389.1,0.017806
391.1,0.018243
393.1,0.016392
395.1,0.017365
397.1,0.016037
399.1,0.018273
401.1,0.017253
403.1,0.017436
405.1,0.019461
407.1,0.019678
409.1,0.0194
411.1,0.019485
412.8,0.020695
415.8,0.021031
418.8,0.020106
421.8,0.020928
424.8,0.020674
427.8,0.024621
430.8,0.022916
433.8,0.02324
436.8,0.026625
439.8,0.02718
442.8,0.029814
445.8,0.030816
448.8,0.031259
451.3,0.030812
453.3,0.031802
455.3,0.03305
457.3,0.031321
459.3,0.033148
461.3,0.032929
463.3,0.032105
465.3,0.033115
467.3,0.034317
469.3,0.034133
471.3,0.033169
473.3,0.033389
475.3,0.034611
477.3,0.033609
479.3,0.035465
481.3,0.034836
483.3,0.034529
485.3,0.035939
487.3,0.038123
489.3,0.037771
491.3,0.038081
493.3,0.040222
495.3,0.041254
497.3,0.041294
499.3,0.042062
501.3,0.045535
503.3,0.046656
505.3,0.046596
507.3,0.048243
509.3,0.051397
511.3,0.05341
513.3,0.054644
515.3,0.058143
517.3,0.060277
519.3,0.062771
521.3,0.064031
523.3,0.067216
525.3,0.06978
527.3,0.074185
529.3,0.076478
531.3,0.079236
533.3,0.084704
535.3,0.087791
537.3,0.092199
539.3,0.09661
541.3,0.099799
543.3,0.104886
545.3,0.109172
547.3,0.112094
549.3,0.11907
551.3,0.123592
553.3,0.128198
555.3,0.133288
557.3,0.137643
559.3,0.142268
561.3,0.1463
563.3,0.152446
565.3,0.156622
567.3,0.161216
569.3,0.162945
571.3,0.166317
573.3,0.170255
575.3,0.177078
577.3,0.179652
579.3,0.182145
581.3,0.184826
583.3,0.18692
585.3,0.184227
587.3,0.192436
589.3,0.192615
591.3,0.194888
593.3,0.196149
595.3,0.1943
597.3,0.195514
599.3,0.198726
601.1,0.198834
602.7,0.199879
604.3,0.199648
605.9,0.200967
607.5,0.199805
609.1,0.202246
610.7,0.201175
612.3,0.199725
613.9,0.200506
615.5,0.201895
617.1,0.202413
618.7,0.200157
620.3,0.201295
621.9,0.20017
623.5,0.201557
625.1,0.200784
626.7,0.200183
628.3,0.202669
629.9,0.200725
631.7,0.200568
633.7,0.201593
635.7,0.201461
637.7,0.200614
639.7,0.201062
641.7,0.203313
643.7,0.201484
645.7,0.20435
647.7,0.202907
649.7,0.20283
651.7,0.203029
653.7,0.203977
