Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:49.954400
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,248.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Hematite_gds27.9282_USGS
Sample Name,Oxide_Hematite_gds27.9282_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0206585353,0.0204799077
R1,436.0,0.0206633115,0.0204905951
L6,482.0,0.0202405663,0.020326299
L5,535.0,0.0241241547,0.0238986011
L4,601.0,0.1477156369,0.1476813238
L3,673.0,0.2174403162,0.217717853
L1,739.0,0.2024583532,0.222597806
L2,753.0,0.3089836328,0.3088668508
R2,754.0,0.3085357307,0.308452571
R3,803.0,0.2639758322,0.261836938
R4,864.0,0.2354179332,0.231717514
R5,904.0,0.2424388858,0.2423118096
R6,934.0,0.2673704186,0.2675283226
R7,1009.0,0.3943994666,0.395823877
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0207023741,0.0204869811
p5,670.0,0.2145276649,0.2150305515
p6,800.0,0.2658244499,0.2639568309
p7,860.0,0.2384446665,0.2321922351
p8,900.0,0.2410488349,0.2411025617
p9,930.0,0.2650175962,0.2650924513
p11,965.0,0.3171766898,0.3171719174
p10,1000.0,0.385677442,0.3867294162
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0206193304,0.0205226296
blue,482.0,0.0206314025,0.0205724042
green,561.0,0.0479191932,0.0482100341
pan,589.0,0.1079100848,0.1128849153
red,655.0,0.2004400202,0.2006528786
nir,865.0,0.235493211,0.2320900247
cirrus,1373.0,0.8210977004,0.8203407446
swir1,1609.0,0.8351277239,0.8341469786
swir2,2200.0,0.8115992655,0.8131679231
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0428321221,0.0588236286
bayer_blue,495.0,0.0264769682,0.0289029062
filter1_525nm_34mm,527.0,0.0266390879,0.0313586059
bayer_green,554.0,0.0500632463,0.0532004852
bayer_red,640.0,0.1804893984,0.1828158164
filter4_675nm_34mm,676.0,0.2211773533,0.2213600247
filter3_750nm_34mm,751.0,0.3084903767,0.3087875727
filter3_800nm_100mm,805.0,0.2607806791,0.2590522602
filter5_865nm_34mm,867.0,0.2313367821,0.2315111541
filter4_905nm_100mm,908.0,0.2443834143,0.2444401438
filter5_935nm_100mm,937.0,0.2701904699,0.2722069404
filter6_1035nm_34mm,1012.0,0.4126137716,0.418163896
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0207053337,0.0205087876
L0B,482.0,0.0219355056,0.0221217179
L5,528.0,0.0228663244,0.0228134252
L0G,544.0,0.0421780582,0.0434370564
L4,605.0,0.1533101755,0.1532376563
L0R,630.0,0.173617602,0.1761924806
L3,677.0,0.222559326,0.2225552591
L2,754.0,0.3079465549,0.3078968779
L1,800.0,0.2640976449,0.262087797
R2,866.0,0.2335165397,0.2313083686
R3,910.0,0.2456724568,0.2451431092
R4,939.0,0.2729612683,0.2741039062
R5,978.0,0.3400924958,0.3395532187
R6,1022.0,0.4235669128,0.4275925114
