Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:50.266638
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,242.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_Magnetite_hs195.13178_USGS
Sample Name,Oxide_Magnetite_hs195.13178_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0596371131,0.0591590748
R1,436.0,0.0595673068,0.0590894219
L6,482.0,0.0575972549,0.0578376112
L5,535.0,0.0581070607,0.0575413043
L4,601.0,0.0584555399,0.0583978953
L3,673.0,0.0580331139,0.0580712017
L1,739.0,0.0556634145,0.0546219101
L2,753.0,0.0557144369,0.0556959351
R2,754.0,0.0556477929,0.0556363567
R3,803.0,0.0541919702,0.0537702289
R4,864.0,0.0522989086,0.051447867
R5,904.0,0.0493586838,0.0492739368
R6,934.0,0.0477752087,0.0477592713
R7,1009.0,0.0450547089,0.0449991198
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0595895313,0.0589741014
p5,670.0,0.0580159907,0.0581047958
p6,800.0,0.0541981161,0.0538443704
p7,860.0,0.0531904853,0.0517757598
p8,900.0,0.0496617289,0.049591142
p9,930.0,0.0478433697,0.0477773935
p11,965.0,0.0463432138,0.0462151961
p10,1000.0,0.0451455986,0.0451361217
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0591918332,0.0589133273
blue,482.0,0.0580714895,0.0578875075
green,561.0,0.0579335753,0.0578211371
pan,589.0,0.0580930332,0.0579882146
red,655.0,0.058124294,0.0581239768
nir,865.0,0.0521907199,0.0514088632
cirrus,1373.0,0.054580545,0.0545372529
swir1,1609.0,0.0646906497,0.0646617309
swir2,2200.0,0.0819420021,0.0822336876
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.0586793426,0.0579302662
bayer_blue,495.0,0.0579162644,0.0578558092
filter1_525nm_34mm,527.0,0.057431667,0.0574327195
bayer_green,554.0,0.0579097944,0.0578128113
bayer_red,640.0,0.0580293132,0.0580863454
filter4_675nm_34mm,676.0,0.0580230097,0.0580308066
filter3_750nm_34mm,751.0,0.0558170074,0.0557701198
filter3_800nm_100mm,805.0,0.0540799599,0.0536590197
filter5_865nm_34mm,867.0,0.05132357,0.0511491121
filter4_905nm_100mm,908.0,0.0489935674,0.0487578027
filter5_935nm_100mm,937.0,0.0475768329,0.0475895767
filter6_1035nm_34mm,1012.0,0.0449327808,0.0448232841
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0595075002,0.0589259112
L0B,482.0,0.0582390527,0.0581308997
L5,528.0,0.057671078,0.0575755688
L0G,544.0,0.0579190132,0.0578632966
L4,605.0,0.0583134664,0.0582487255
L0R,630.0,0.0580310765,0.0580874521
L3,677.0,0.0580215719,0.0580093397
L2,754.0,0.0556299877,0.0556214382
L1,800.0,0.0542487516,0.0538321344
R2,866.0,0.0518659717,0.0513063792
R3,910.0,0.0488718529,0.0486609314
R4,939.0,0.0473550567,0.0474208833
R5,978.0,0.0463604522,0.0461408385
R6,1022.0,0.0446373607,0.0446826241
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.0583011542,0.0581111494
red,685.7899115028,0.0571443826,0.0569259744
nir,878.2928523721,0.0510628695,0.0503784312
