Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:50.642182
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Oxide_MnO_ore_OREAS170A00000_Hardgrove
Sample Name,Oxide_MnO_ore_OREAS170A00000_Hardgrove
Sample Type,
Viewing Geometry,
Wavelength,Response
350.0,0.0255417
351.0,0.0220238
352.0,0.0222774
353.0,0.0240015
354.0,0.0221132
355.0,0.0230193
356.0,0.024435
357.0,0.0239974
358.0,0.0200863
359.0,0.0204328
360.0,0.0225806
361.0,0.0231761
362.0,0.026074
363.0,0.027232
364.0,0.0264744
365.0,0.0262794
366.0,0.0260646
367.0,0.025638
368.0,0.025231
369.0,0.0259268
370.0,0.0260377
371.0,0.0267083
372.0,0.0289574
373.0,0.027726
374.0,0.0269052
375.0,0.0270426
376.0,0.025009
377.0,0.0247655
378.0,0.0256041
379.0,0.0263526
380.0,0.0275263
381.0,0.0271749
382.0,0.0261882
383.0,0.0265837
384.0,0.0264847
385.0,0.0263937
386.0,0.0265699
387.0,0.026551
388.0,0.0269962
389.0,0.0269582
390.0,0.0258813
391.0,0.0266651
392.0,0.0273531
393.0,0.0273455
394.0,0.0272856
395.0,0.0273216
396.0,0.0274672
397.0,0.0275381
398.0,0.0268931
399.0,0.0266443
400.0,0.0269655
401.0,0.0275497
402.0,0.0281074
403.0,0.0281801
404.0,0.027723
405.0,0.0271554
406.0,0.0278782
407.0,0.0285423
408.0,0.0279043
409.0,0.0280612
410.0,0.0284712
411.0,0.0285596
412.0,0.0279003
413.0,0.0281189
414.0,0.0283445
415.0,0.0279732
416.0,0.0279936
417.0,0.0280799
418.0,0.0282791
419.0,0.0286827
420.0,0.028527
421.0,0.0282429
422.0,0.0282178
423.0,0.028638
424.0,0.0287838
425.0,0.0286735
426.0,0.0285627
427.0,0.028658
428.0,0.0287318
429.0,0.0286896
430.0,0.0285817
431.0,0.0285632
432.0,0.0286093
433.0,0.0286569
434.0,0.0286065
435.0,0.0289887
436.0,0.0293732
437.0,0.0289397
438.0,0.0287887
439.0,0.0288072
440.0,0.0288369
441.0,0.0289177
442.0,0.0291286
443.0,0.0292958
444.0,0.0292168
445.0,0.0290499
446.0,0.0290206
447.0,0.0291489
448.0,0.029217
449.0,0.0292116
450.0,0.0291675
451.0,0.029157
452.0,0.0293311
453.0,0.0294138
454.0,0.0293682
455.0,0.029338
456.0,0.029308
457.0,0.0292018
458.0,0.0290897
459.0,0.0294705
460.0,0.0295327
461.0,0.0293458
462.0,0.02935
463.0,0.0294759
464.0,0.0294663
465.0,0.0293114
466.0,0.0294034
467.0,0.0292889
468.0,0.0292156
469.0,0.0294675
470.0,0.0294869
471.0,0.0295358
472.0,0.0296874
473.0,0.0297978
474.0,0.0295993
475.0,0.0294347
476.0,0.029559
477.0,0.0295717
478.0,0.0296699
479.0,0.0297659
480.0,0.029653
481.0,0.0298271
482.0,0.0299356
483.0,0.0298251
484.0,0.0299943
485.0,0.0299973
486.0,0.0299313
487.0,0.0300397
488.0,0.0300875
489.0,0.0300684
490.0,0.0300475
491.0,0.0301614
492.0,0.0301667
493.0,0.0301391
494.0,0.030194
495.0,0.0302284
496.0,0.0302385
497.0,0.0302087
498.0,0.0301262
499.0,0.0303509
500.0,0.0305202
501.0,0.0304103
502.0,0.0305677
503.0,0.0305612
504.0,0.0304305
505.0,0.0304575
506.0,0.0305813
507.0,0.0306511
508.0,0.0306195
509.0,0.030638
510.0,0.03075
511.0,0.0308083
512.0,0.0306742
513.0,0.0307095
514.0,0.0308071
515.0,0.0308711
516.0,0.0308614
517.0,0.0308769
518.0,0.0309067
519.0,0.0309153
520.0,0.0308779
521.0,0.0309285
522.0,0.0310337
523.0,0.0310339
524.0,0.0311042
525.0,0.0311578
526.0,0.0311461
527.0,0.0312518
528.0,0.0312395
529.0,0.0312076
530.0,0.0313813
531.0,0.0314242
532.0,0.0314293
533.0,0.0314782
534.0,0.0315513
535.0,0.0315446
536.0,0.0315258
537.0,0.031595
538.0,0.0316513
539.0,0.0317209
540.0,0.0317907
541.0,0.0317937
542.0,0.031832
543.0,0.0318914
544.0,0.031941
545.0,0.0320053
546.0,0.0320676
547.0,0.0321088
548.0,0.032115
549.0,0.0321826
550.0,0.0322333
551.0,0.0322285
552.0,0.0323061
553.0,0.0323853
554.0,0.032443
555.0,0.0324851
556.0,0.032517
557.0,0.0325733
558.0,0.0326599
559.0,0.0327311
560.0,0.0327831
561.0,0.0328213
562.0,0.03286
563.0,0.032934
564.0,0.0329728
565.0,0.0329668
566.0,0.0329788
567.0,0.0330487
568.0,0.0331023
569.0,0.0330956
570.0,0.033194
571.0,0.0332727
572.0,0.0332909
573.0,0.0332834
574.0,0.0334049
575.0,0.0335343
576.0,0.0335698
577.0,0.0335482
578.0,0.0335185
579.0,0.0335236
580.0,0.0335904
581.0,0.0336874
582.0,0.0337575
583.0,0.0337857
584.0,0.0338166
585.0,0.0338601
586.0,0.0339014
587.0,0.0339283
588.0,0.0339728
589.0,0.0340538
590.0,0.034152
591.0,0.0342192
592.0,0.0343383
593.0,0.0344264
594.0,0.0344455
595.0,0.034569
596.0,0.0346283
597.0,0.0346258
598.0,0.0346492
599.0,0.034691
600.0,0.0347457
601.0,0.0348047
602.0,0.034855
603.0,0.0349317
604.0,0.0349951
605.0,0.035004
606.0,0.0350404
607.0,0.0350655
608.0,0.0350772
609.0,0.0351151
610.0,0.0351675
611.0,0.0352488
612.0,0.0353532
613.0,0.0354028
614.0,0.0354362
615.0,0.0354889
616.0,0.0355791
617.0,0.0355755
618.0,0.0355708
619.0,0.0356277
620.0,0.0357049
621.0,0.0358011
622.0,0.035868
623.0,0.0358702
624.0,0.0359094
625.0,0.0359844
626.0,0.0360611
627.0,0.03608
628.0,0.0361194
629.0,0.0361747
630.0,0.036229
631.0,0.0362861
632.0,0.0363637
633.0,0.0364421
634.0,0.0364831
635.0,0.0365057
636.0,0.0365269
