Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:48.435804
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2560.0
Minimum Reflectance,395.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Phyllo_NG1_45_75_bidir_EhlmannEtAl2011LPSCInPrep
Sample Name,Phyllo_NG1_45_75_bidir_EhlmannEtAl2011LPSCInPrep
Sample Type,
Viewing Geometry,
Wavelength,Response
395.1,0.048105
397.1,0.049409
399.1,0.050713
401.1,0.05187
403.1,0.052906
405.1,0.053929
407.1,0.054713
409.1,0.055497
411.1,0.056136
412.8,0.056578
415.8,0.057329
418.8,0.058001
421.8,0.058655
424.8,0.059297
427.8,0.060018
430.8,0.060796
433.8,0.06172
436.8,0.062623
439.8,0.063511
442.8,0.064248
445.8,0.065178
448.8,0.066672
451.3,0.068159
453.3,0.069527
455.3,0.070996
457.3,0.073036
459.3,0.075076
461.3,0.078078
463.3,0.081598
465.3,0.085412
467.3,0.090892
469.3,0.096372
471.3,0.103152
473.3,0.110632
475.3,0.118135
477.3,0.125767
479.3,0.133399
481.3,0.140357
483.3,0.146953
485.3,0.153362
487.3,0.158706
489.3,0.16405
491.3,0.16892
493.3,0.173536
495.3,0.178101
497.3,0.182373
499.3,0.186645
501.3,0.190912
503.3,0.195176
505.3,0.199421
507.3,0.203561
509.3,0.207701
511.3,0.211903
513.3,0.216139
515.3,0.220376
517.3,0.224616
519.3,0.228856
521.3,0.233174
523.3,0.237534
525.3,0.241933
527.3,0.246548
529.3,0.251164
531.3,0.255869
533.3,0.260621
535.3,0.265349
537.3,0.269941
539.3,0.274533
541.3,0.278571
543.3,0.282311
545.3,0.286023
547.3,0.289579
549.3,0.293135
551.3,0.296374
553.3,0.299442
555.3,0.302457
557.3,0.305169
559.3,0.307881
561.3,0.310062
563.3,0.311958
565.3,0.313845
567.3,0.315677
569.3,0.317509
571.3,0.318987
573.3,0.320275
575.3,0.321527
577.3,0.322575
579.3,0.323623
581.3,0.324588
583.3,0.325508
585.3,0.326363
587.3,0.326847
589.3,0.327331
591.3,0.32762
593.3,0.327804
595.3,0.327935
597.3,0.327767
599.3,0.327599
601.1,0.327428
602.7,0.327265
604.3,0.327101
605.9,0.326733
607.5,0.326205
609.1,0.325677
610.7,0.325164
612.3,0.324672
613.9,0.324179
615.5,0.323669
617.1,0.323122
618.7,0.322575
620.3,0.32204
621.9,0.32156
623.5,0.32108
625.1,0.320613
626.7,0.320344
628.3,0.320076
629.9,0.319807
631.7,0.319603
633.7,0.319383
635.7,0.31931
637.7,0.31951
639.7,0.31971
641.7,0.319958
643.7,0.320214
645.7,0.320572
