Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:53.061211
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Ferrosilite_PYX117_En75_Fs25_Wo0_RELAB
Sample Name,Pyx_Ferrosilite_PYX117_En75_Fs25_Wo0_RELAB
Sample Type,
Viewing Geometry,
Wavelength,Response
300.0,0.058613
305.0,0.055745
310.0,0.055332
315.0,0.056543
320.0,0.058196
325.0,0.060897
330.0,0.063769
335.0,0.067684
340.0,0.073353
345.0,0.079896
350.0,0.086977
355.0,0.095571
360.0,0.106046
365.0,0.113841
370.0,0.117256
375.0,0.120406
380.0,0.124621
385.0,0.131247
390.0,0.138291
395.0,0.145816
400.0,0.155256
405.0,0.166416
410.0,0.178834
415.0,0.189511
420.0,0.195198
425.0,0.193051
430.0,0.193998
435.0,0.200394
440.0,0.200403
445.0,0.191105
450.0,0.195641
455.0,0.202794
460.0,0.208121
465.0,0.211824
470.0,0.216016
475.0,0.217069
480.0,0.215718
485.0,0.221003
490.0,0.227549
495.0,0.232799
500.0,0.23272
505.0,0.22573
510.0,0.236806
515.0,0.242125
520.0,0.244513
525.0,0.246616
530.0,0.248982
535.0,0.250623
540.0,0.249995
545.0,0.249085
550.0,0.253744
555.0,0.260526
560.0,0.265578
565.0,0.269822
570.0,0.27375
575.0,0.277408
580.0,0.280886
585.0,0.284966
590.0,0.289278
595.0,0.29337
600.0,0.297355
605.0,0.301373
610.0,0.305518
615.0,0.309891
620.0,0.314086
625.0,0.319035
630.0,0.323544
635.0,0.32792
640.0,0.33261
645.0,0.337458
650.0,0.341533
655.0,0.347479
660.0,0.352698
665.0,0.357686
670.0,0.363636
675.0,0.369565
680.0,0.375212
685.0,0.380485
690.0,0.386688
695.0,0.392349
700.0,0.397677
705.0,0.400811
710.0,0.40326
715.0,0.405177
720.0,0.405452
725.0,0.40353
730.0,0.402235
735.0,0.397573
740.0,0.391219
745.0,0.383119
750.0,0.372397
755.0,0.360018
760.0,0.345949
765.0,0.331956
770.0,0.318165
775.0,0.301747
780.0,0.287799
785.0,0.271542
790.0,0.257101
795.0,0.241013
800.0,0.2281
805.0,0.213311
810.0,0.201817
815.0,0.188642
820.0,0.179044
825.0,0.168073
830.0,0.161087
835.0,0.15071
840.0,0.145687
845.0,0.137417
850.0,0.132063
855.0,0.125893
860.0,0.122523
865.0,0.116472
870.0,0.114011
875.0,0.110324
880.0,0.107328
885.0,0.105638
890.0,0.104058
895.0,0.101813
900.0,0.100318
905.0,0.100606
910.0,0.100104
915.0,0.10015
920.0,0.100308
925.0,0.100771
930.0,0.101417
935.0,0.102688
940.0,0.104424
945.0,0.106436
950.0,0.108901
955.0,0.112181
960.0,0.115557
965.0,0.1193
970.0,0.124202
975.0,0.1293
980.0,0.135599
985.0,0.142857
990.0,0.150281
995.0,0.15922
1000.0,0.167853
1005.0,0.179109
1010.0,0.190621
1015.0,0.202808
1020.0,0.215698
1025.0,0.229359
1030.0,0.244186
1035.0,0.260807
1040.0,0.277713
1045.0,0.293859
1050.0,0.312265
1055.0,0.330042
1060.0,0.34853
1065.0,0.367211
1070.0,0.386169
1075.0,0.403276
1080.0,0.420903
1085.0,0.438078
1090.0,0.454737
1095.0,0.469808
1100.0,0.485729
1105.0,0.500269
1110.0,0.513632
1115.0,0.526402
1120.0,0.538152
1125.0,0.549704
1130.0,0.558463
1135.0,0.568504
1140.0,0.575691
1145.0,0.58362
1150.0,0.591426
1155.0,0.597736
1160.0,0.603242
1165.0,0.608357
1170.0,0.613048
1175.0,0.617712
1180.0,0.621295
1185.0,0.625229
1190.0,0.628456
1195.0,0.631829
1200.0,0.635202
1205.0,0.636401
1210.0,0.639261
1215.0,0.640224
1220.0,0.642656
1225.0,0.645108
1230.0,0.645534
1235.0,0.646967
1240.0,0.647298
1245.0,0.647969
1250.0,0.647617
1255.0,0.647431
1260.0,0.647096
1265.0,0.646899
1270.0,0.645792
1275.0,0.644499
1280.0,0.642091
1285.0,0.640351
1290.0,0.638742
1295.0,0.636708
1300.0,0.633411
1305.0,0.629955
1310.0,0.627338
1315.0,0.624024
1320.0,0.61896
1325.0,0.61473
1330.0,0.610275
1335.0,0.605967
1340.0,0.601273
1345.0,0.595728
1350.0,0.59047
1355.0,0.583148
1360.0,0.57646
1365.0,0.5699
1370.0,0.564091
1375.0,0.558517
1380.0,0.55155
1385.0,0.544765
1390.0,0.538719
1395.0,0.53162
1400.0,0.524477
1405.0,0.516804
1410.0,0.509535
1415.0,0.503305
1420.0,0.495213
1425.0,0.487999
1430.0,0.480593
1435.0,0.474275
1440.0,0.466434
1445.0,0.459055
1450.0,0.451813
1455.0,0.444296
1460.0,0.436907
1465.0,0.430138
1470.0,0.422461
1475.0,0.415027
1480.0,0.40841
1485.0,0.401966
1490.0,0.394841
1495.0,0.388231
1500.0,0.380793
1505.0,0.374082
1510.0,0.368307
1515.0,0.360875
1520.0,0.354555
1525.0,0.348953
1530.0,0.342691
1535.0,0.336394
1540.0,0.33063
1545.0,0.32406
1550.0,0.317828
1555.0,0.312915
1560.0,0.307126
1565.0,0.301679
1570.0,0.296433
1575.0,0.291301
1580.0,0.286379
1585.0,0.28114
1590.0,0.275731
1595.0,0.271239
1600.0,0.266443
1605.0,0.261966
1610.0,0.257648
1615.0,0.253547
1620.0,0.249706
1625.0,0.246098
1630.0,0.241414
1635.0,0.237843
1640.0,0.233908
1645.0,0.230843
1650.0,0.22669
1655.0,0.221674
1660.0,0.216657
1665.0,0.211704
1670.0,0.208158
1675.0,0.204707
1680.0,0.201846
1685.0,0.199176
1690.0,0.19644
1695.0,0.194257
1700.0,0.191842
1705.0,0.189515
1710.0,0.187184
1715.0,0.184438
1720.0,0.183033
1725.0,0.181416
1730.0,0.179262
1735.0,0.1774
1740.0,0.175209
1745.0,0.173792
1750.0,0.171837
1755.0,0.170102
1760.0,0.169016
1765.0,0.167472
1770.0,0.165949
1775.0,0.164562
1780.0,0.163275
1785.0,0.162066
1790.0,0.161031
1795.0,0.160156
1800.0,0.158843
1805.0,0.158307
1810.0,0.157497
1815.0,0.157519
1820.0,0.156679
1825.0,0.156312
1830.0,0.15603
1835.0,0.155421
1840.0,0.154964
1845.0,0.153981
1850.0,0.153892
1855.0,0.153687
1860.0,0.153562
1865.0,0.153415
1870.0,0.153914
1875.0,0.15377
1880.0,0.153515
1885.0,0.153683
1890.0,0.153993
1895.0,0.154053
1900.0,0.154486
1905.0,0.154619
1910.0,0.155425
1915.0,0.156585
1920.0,0.156834
1925.0,0.157896
1930.0,0.158828
1935.0,0.159635
1940.0,0.160361
1945.0,0.160859
1950.0,0.162541
1955.0,0.163557
1960.0,0.16476
1965.0,0.165844
1970.0,0.16795
1975.0,0.168764
1980.0,0.170078
1985.0,0.172278
1990.0,0.174368
1995.0,0.176239
2000.0,0.177873
2005.0,0.179728
2010.0,0.181697
2015.0,0.183442
2020.0,0.186
2025.0,0.187499
2030.0,0.190489
2035.0,0.193784
2040.0,0.196842
2045.0,0.199584
2050.0,0.202596
2055.0,0.206368
2060.0,0.208449
2065.0,0.212314
2070.0,0.215122
2075.0,0.218418
2080.0,0.22184
2085.0,0.22522
2090.0,0.229174
2095.0,0.233149
2100.0,0.236857
2105.0,0.240389
2110.0,0.244522
2115.0,0.249072
2120.0,0.253942
2125.0,0.258255
2130.0,0.262659
2135.0,0.268117
2140.0,0.271951
2145.0,0.276473
2150.0,0.281065
2155.0,0.286853
2160.0,0.291865
2165.0,0.296741
2170.0,0.302345
2175.0,0.308247
2180.0,0.314049
2185.0,0.319657
2190.0,0.325475
2195.0,0.331314
2200.0,0.337234
2205.0,0.34246
2210.0,0.348474
2215.0,0.354471
2220.0,0.358639
2225.0,0.364827
2230.0,0.369731
2235.0,0.376155
