Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.948076
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Name,Pyx_Hedenbergite_PYX010_En30.4_Fs18.7_Wo50.9_45-90microns_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0714203491,0.0711014336
R1,436.0,0.071740912,0.0714568482
L6,482.0,0.0871026936,0.087134209
L5,535.0,0.1092823394,0.109306237
L4,601.0,0.0974908797,0.0974743716
L3,673.0,0.0753696922,0.0753376626
L1,739.0,0.0753483765,0.071443859
L2,753.0,0.0596556756,0.0596441091
R2,754.0,0.0595452601,0.0595333207
R3,803.0,0.0564067217,0.0564053766
R4,864.0,0.0605915993,0.0605937174
R5,904.0,0.0616014181,0.0616048688
R6,934.0,0.0608986594,0.0608907175
R7,1009.0,0.0599514183,0.0599715142
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0725150987,0.0722248596
p5,670.0,0.0761853072,0.0761399068
p6,800.0,0.0564812326,0.0564785972
p7,860.0,0.0602542455,0.0602673456
p8,900.0,0.0614887261,0.0614949908
p9,930.0,0.0610217902,0.0610082873
p11,965.0,0.0596985621,0.0596918742
p10,1000.0,0.0598118977,0.0598204717
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.0717356679,0.0726070611
blue,482.0,0.0880810598,0.0878743322
green,561.0,0.1078194686,0.1079623185
pan,589.0,0.0978961017,0.0968077843
red,655.0,0.081309201,0.080839431
nir,865.0,0.0600910313,0.0605293407
cirrus,1373.0,0.084844508,0.0849580974
swir1,1609.0,0.1381469153,0.1389299151
swir2,2200.0,0.3399234016,0.3415507109
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.073141351,0.0722739501
bayer_blue,495.0,0.0909029325,0.0907945201
filter1_525nm_34mm,527.0,0.1067249187,0.1060278883
bayer_green,554.0,0.1045589869,0.1043008705
bayer_red,640.0,0.0867849321,0.0862534611
filter4_675nm_34mm,676.0,0.0745015636,0.0744670969
filter3_750nm_34mm,751.0,0.0599929623,0.059935012
filter3_800nm_100mm,805.0,0.0565145196,0.0564671582
filter5_865nm_34mm,867.0,0.060902568,0.0608205681
filter4_905nm_100mm,908.0,0.0618812366,0.0617781808
filter5_935nm_100mm,937.0,0.0609376672,0.0607590841
filter6_1035nm_34mm,1012.0,0.0605638162,0.0603913578
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.0725733412,0.0723544926
L0B,482.0,0.0859063008,0.0856471903
L5,528.0,0.107584856,0.1075115186
L0G,544.0,0.1034949539,0.1034527387
L4,605.0,0.0966256831,0.0965596897
L0R,630.0,0.0876504198,0.0871347482
L3,677.0,0.0740971313,0.0740261338
L2,754.0,0.0595560726,0.0595212702
L1,800.0,0.0564594354,0.0564233589
R2,866.0,0.0607137724,0.0606827166
R3,910.0,0.061740631,0.0616922918
R4,939.0,0.0605810215,0.0605200023
R5,978.0,0.059581039,0.0595264985
R6,1022.0,0.0603693726,0.0603535348
