Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.761629
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Bassanite_GDS145_USGS
Sample Name,Sulfate_Bassanite_GDS145_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.7647559994,0.7563847262
R1,436.0,0.7662652001,0.7581745665
L6,482.0,0.804669082,0.8082018423
L5,535.0,0.8622332698,0.8539116792
L4,601.0,0.8900297331,0.8892172925
L3,673.0,0.9089145847,0.9095781846
L1,739.0,0.9000813628,0.9050656116
L2,753.0,0.9209613287,0.9207762202
R2,754.0,0.9209187553,0.9208544045
R3,803.0,0.9332042633,0.9260052192
R4,864.0,0.9390469911,0.9243480044
R5,904.0,0.924058629,0.9229638085
R6,934.0,0.918373307,0.9181721246
R7,1009.0,0.9135248144,0.9129835231
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7709693685,0.761109325
p5,670.0,0.9075617854,0.9090209604
p6,800.0,0.9318799059,0.9259196985
p7,860.0,0.9494331239,0.9245857949
p8,900.0,0.9238932958,0.9231851836
p9,930.0,0.9195817767,0.9184909534
p11,965.0,0.9112665292,0.9089156901
p10,1000.0,0.912278919,0.912419433
