Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.873267
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,221.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Coquimbite_GDS22_USGS
Sample Name,Sulfate_Coquimbite_GDS22_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.4424411928,0.4306144809
R1,436.0,0.4481392361,0.437132953
L6,482.0,0.5374482304,0.539767945
L5,535.0,0.5504749103,0.5451433575
L4,601.0,0.5857294313,0.5852452452
L3,673.0,0.6420220718,0.6424727971
L1,739.0,0.6175269672,0.6294581634
L2,753.0,0.6091114239,0.6089592463
R2,754.0,0.6088150204,0.6087417236
R3,803.0,0.6228155466,0.6180705614
R4,864.0,0.6835659533,0.6730232321
R5,904.0,0.7022245141,0.7015809207
R6,934.0,0.7157596491,0.7157208809
R7,1009.0,0.7328663871,0.7323246885
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.4526912009,0.4405964108
p5,670.0,0.6410651465,0.6420757823
p6,800.0,0.6210358699,0.6171516337
p7,860.0,0.6863777029,0.668643366
p8,900.0,0.6993452751,0.6991297781
p9,930.0,0.714842769,0.7142082683
p11,965.0,0.7270809124,0.7254023353
p10,1000.0,0.7316001086,0.7316163507
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.4809685972,0.4772081596
blue,482.0,0.5402015174,0.53869773
green,561.0,0.5531791853,0.5521608147
pan,589.0,0.5836671755,0.5851805735
red,655.0,0.6379496723,0.6380751775
nir,865.0,0.6826291192,0.6730213115
cirrus,1373.0,0.6634137774,0.6627869636
swir1,1609.0,0.3551865159,0.3542026434
swir2,2200.0,0.2446318298,0.2471531796
