Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:55.609514
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Fe3+SO4(OH)_c1sf18_RELAB
Sample Name,Sulfate_Fe3+SO4(OH)_c1sf18_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.1378864879,0.1338793723
R1,436.0,0.1410482727,0.1373561141
L6,482.0,0.2417924926,0.2419843111
L5,535.0,0.3252701198,0.3252937949
L4,601.0,0.3666600332,0.3667058246
L3,673.0,0.3924012666,0.3923647991
L1,739.0,0.3443735035,0.3488222593
L2,753.0,0.325735096,0.3256498417
R2,754.0,0.324923136,0.3248345032
R3,803.0,0.3025220776,0.302511975
R4,864.0,0.3066001645,0.3065908659
R5,904.0,0.3441523481,0.3444818042
R6,934.0,0.3920574189,0.3922883697
R7,1009.0,0.5291813438,0.5305790778
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.1454969873,0.1418352123
p5,670.0,0.3927580421,0.3927145434
p6,800.0,0.3028064199,0.3027889936
p7,860.0,0.3053261627,0.3053114068
p8,900.0,0.339966773,0.3405210327
p9,930.0,0.3870792198,0.3875975047
p11,965.0,0.4546649181,0.455546623
p10,1000.0,0.5221354869,0.5229758444
