Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:55.097990
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2976.0
Minimum Reflectance,242.1
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Pyrrhotite_HS269.3B_USGS
Sample Name,Sulfate_Pyrrhotite_HS269.3B_USGS
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.0326849877,0.0322624296
R1,436.0,0.0327940286,0.0323844477
L6,482.0,0.0352698805,0.0354350082
L5,535.0,0.0525122368,0.0520353085
L4,601.0,0.0710313545,0.070967015
L3,673.0,0.0735472328,0.073604351
L1,739.0,0.0707440794,0.0727629837
L2,753.0,0.0780850985,0.0780712983
R2,754.0,0.0780966357,0.0780931046
R3,803.0,0.0791767044,0.0785655745
R4,864.0,0.0807529708,0.0794994635
R5,904.0,0.078811611,0.0787043735
R6,934.0,0.0778549627,0.0778427347
R7,1009.0,0.0781927248,0.0781482959
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.0329726457,0.0324931668
p5,670.0,0.0733780153,0.0734997128
p6,800.0,0.0790512946,0.0785444306
p7,860.0,0.0814338532,0.0793148472
p8,900.0,0.0788242392,0.0787509787
p9,930.0,0.0779335599,0.0778443769
p11,965.0,0.0776004556,0.0774095591
p10,1000.0,0.077966407,0.077976011
