Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:58.563098
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2500.0
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Rhomboclase_SPT139_HOSERLab
Sample Name,Sulfate_Rhomboclase_SPT139_HOSERLab
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6728725276,0.6658004697
R1,436.0,0.6783653807,0.6721274519
L6,482.0,0.7516533228,0.7516683987
L5,535.0,0.7651761194,0.7652255884
L4,601.0,0.8004086127,0.8004352258
L3,673.0,0.8256549085,0.8256703328
L1,739.0,0.8087264697,0.8141637595
L2,753.0,0.8186021752,0.8185868742
R2,754.0,0.8184524739,0.8184367966
R3,803.0,0.8172941923,0.8173004777
R4,864.0,0.8256087928,0.8256060851
R5,904.0,0.8316301043,0.8316661152
R6,934.0,0.8364839654,0.8365057851
R7,1009.0,0.8529764128,0.853199495
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6829655561,0.6769059534
p5,670.0,0.8250979488,0.8251215712
p6,800.0,0.8171840204,0.817195083
p7,860.0,0.8249967412,0.8250056077
p8,900.0,0.8310418095,0.8311086361
p9,930.0,0.8359871107,0.8360381433
p11,965.0,0.8432642815,0.843368544
p10,1000.0,0.8516263697,0.8517389788
